序号,机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,烟台市老年福利服务中心,121.40829901750566,37.4823320018665,1,70,政府机构,bd09,,删除
2,烟台市芝罘区益健老年人颐养中心,121.40654004548657,37.546312866890936,0,20,区县,bd09,,删除
3,烟台市芝罘区富昌老年公寓,121.31429853233055,37.53507578152945,1,70,医疗,bd09,,删除
4,烟台舜世养老服务有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
5,烟台市芝罘区宏盛养老院,121.38371167705316,37.60596622917093,1,70,政府机构,bd09,,删除
6,烟台市芝罘区老涞福老人公寓,121.31920112448181,37.53563721851549,1,70,政府机构,bd09,,删除
7,烟台市芝罘区幸福龙海老年人颐养中心,121.3745012608288,37.5899299380915,1,70,政府机构,bd09,,删除
8,烟台芝罘岛老年颐养中心,121.38883821676804,37.61270165827393,1,70,政府机构,bd09,,删除
9,烟台市芝罘区进德老年公寓,121.41621991617043,37.537615734828975,1,70,医疗,bd09,,删除
10,烟台市芝罘区温暖老年公寓,121.3065309744163,37.53820226170736,1,70,医疗,bd09,,删除
11,烟台市芝罘区金东养老服务中心,121.35839284642387,37.4515159237148,1,70,生活服务,bd09,,删除
12,烟台市芝罘区黄务老年公寓,121.35930678244974,37.50929237620029,1,70,政府机构,bd09,,删除
13,烟台市芝罘区金色家园老年公寓,121.37491852373819,37.47317162144954,1,70,医疗,bd09,,删除
14,烟台市芝罘区德信老年颐养中心,121.37261688536051,37.54712005889953,1,70,政府机构,bd09,,删除
15,烟台润昌颐养院有限公司,121.30846349905994,37.53659976397929,0,50,NoClass,bd09,,删除
16,烟台市芝罘区福盛老年公寓,121.40157582957734,37.53052446489388,1,70,医疗,bd09,,删除
17,烟台市芝罘区东方老年颐养中心,121.3593460384005,37.5058983007519,1,70,政府机构,bd09,,删除
18,烟台市芝罘区天慈颐养中心,121.3368380955425,37.46460538212347,1,70,政府机构,bd09,,删除
19,烟台城发榆悦康护医院有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
20,烟台市芝罘区宝云颐养中心,121.34140103838043,37.543996960130706,0,50,NoClass,bd09,,删除
21,烟台市芝罘区奇山康宁老年公寓,121.41126396467189,37.522373990808305,1,70,医疗,bd09,,删除
22,烟台珠玑老年公寓,121.34424435498063,37.55614169832518,1,70,医疗,bd09,,删除
23,烟台只楚老年公寓有限公司,121.33095958428521,37.523184520856056,1,70,医疗,bd09,,删除
24,烟台小小养老服务有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
25,烟台市芝罘区恒爱亲情养老护理服务中心,121.40823712425602,37.540043077465604,1,70,政府机构,bd09,,删除
26,烟台市芝罘区康乐老年公寓,121.36860675973342,37.5704445637982,1,70,医疗,bd09,,删除
27,芝罘社会福利院,121.3538347544357,37.495653369470276,1,70,政府机构,bd09,,删除
28,烟台凤翔山庄养老服务中心有限公司,121.47947391899444,37.44725226851327,0,80,收费区/收费站,bd09,,删除
29,烟台力高鹤安养老服务中心有限公司,121.53261659499812,37.4516355288516,0,75,购物,bd09,,删除
30,烟台市顺鑫养老服务有限公司,121.39795835328864,37.544990369057274,0,20,城市,bd09,,删除
