序号,护理机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,烟台圣莱恩康复医院,121.39165898589992,37.40318196423577,1,70,医疗,bd09,,删除
2,烟台市牟平区王格庄镇卫生院,121.41399526257497,37.1756065359755,0,25,乡镇,bd09,,删除
3,烟台市牟平区玉林店镇卫生院,121.63210006751449,37.28692392838441,1,70,医疗,bd09,,删除
4,栖霞市福寿康养老中心,120.8510904401797,37.311787318058016,1,70,政府机构,bd09,,删除
5,烟台桃村中心医院,121.1637739695511,37.190509938745734,1,70,医疗,bd09,,删除
6,栖霞市夕阳红老年公寓,120.83798326448361,37.306093299730655,1,70,医疗,bd09,,删除
7,栖霞市中医医院,120.82369697297511,37.31385597505198,1,70,医疗,bd09,,删除
8,栖霞邢照林医院,120.83562404472275,37.32894997961509,1,70,医疗,bd09,,删除
9,烟台市蓬莱中医医院,120.80450350795729,37.79863080563317,1,70,医疗,bd09,,删除
10,烟台开发区东星医院,121.2741091522891,37.56101940196915,1,70,医疗,bd09,,删除
11,烟台经济技术开发区恒达颐养中心,121.24490299439594,37.57239697931235,0,50,NoClass,bd09,,删除
12,烟台通华医院,121.38448700453883,37.55338796067601,1,70,医疗,bd09,,删除
13,烟台经济技术开发区古现医院,121.14357534384014,37.57750936760479,1,70,医疗,bd09,,删除
14,烟台经济技术开发区金东颐养中心,121.29179642845835,37.56242828636011,1,70,医疗,bd09,,删除
15,烟台御花园老年病医院,121.50052076794046,37.43637006322389,1,70,医疗,bd09,,删除
16,烟台经济技术开发区八角医院,121.13252335814776,37.64377614409409,0,70,医疗,bd09,,删除
17,宝云颐养中心,121.34140103838043,37.543996960130706,0,50,NoClass,bd09,,删除
18,烟台慈航健康体检管理有限公司慈航综合门诊部,121.26471539191014,37.55772160208566,1,70,医疗,bd09,,删除
19,烟台市芝罘区德信老年颐养中心,121.37261688536051,37.54712005889953,1,70,政府机构,bd09,,删除
20,烟台市芝罘区东方老年颐养中心,121.3593460384005,37.5058983007519,1,70,政府机构,bd09,,删除
21,烟台凤凰台医院,121.33723900929161,37.545792997667675,1,70,医疗,bd09,,删除
22,烟台市芝罘区幸福街道福盈社区卫生服务站,121.35561717222859,37.581480020074615,1,70,医疗,bd09,,删除
23,烟台富顺医院有限公司,121.37332996027435,37.51697001554044,1,70,医疗,bd09,,删除
24,烟台广济脑科康复医院,121.41166703435421,37.530569966568954,1,70,医疗,bd09,,删除
25,烟台海港医院有限公司,121.36624098234235,37.58172503034184,1,70,医疗,bd09,,删除
26,烟台市芝罘区东山街道航院社区卫生服务站,121.42118790496284,37.543104182552916,1,70,医疗,bd09,,删除
27,长岛综合试验区人民医院,120.74980604477693,37.92163403159436,1,70,医疗,bd09,,删除
28,莱州市柞村镇卫生院,119.9534281169469,37.06638788267088,0,25,乡镇,bd09,,删除
29,招远市大秦家卫生院,120.4536222316906,37.368374832239994,1,70,医疗,bd09,,删除
30,招远市玲珑中心卫生院,120.48555735189252,37.41502599560334,1,70,医疗,bd09,,删除
