县市区,机构名称,地址,建筑面积,床位数量,运营性质
芝罘区,烟台市芝罘区黄务街道蓁山社区老年人日间照料中心,魁玉路66号,787,10,民办
芝罘区,烟台市芝罘区只楚街道西牟社区日间照料中心,魁玉路509号,280,25,公（村）办
芝罘区,烟台市芝罘区凤凰台街道东台社区老年人日间照料中心,凤凰台南街18号,308,10,民办
芝罘区,烟台市芝罘区向阳街道建昌街社区老年人日间照料中心,西南河路280-3-1,290,1,公（村）办
芝罘区,烟台市芝罘区毓璜顶街道毓东社区老年人日间照料中心,毓璜顶北路15-4,600,15,民办
芝罘区,烟台市芝罘区奇山街道社区老年人日间照料中心,烟台市芝罘区上夼南山109号,800,10,民办
芝罘区,烟台市芝罘区白石街道青华社区老年人日间照料中心,芝罘区新海阳街3号、4号,329.77,10,民办
芝罘区,烟台市芝罘区芝罘岛街道海悦花园社区老年人日间照料中心,烟台市芝罘区芝罘岛佳苑街1号,452,10,民办
芝罘区,烟台市芝罘区凤凰台街道社区老年人日间照料中心,烟台市芝罘区凤凰台路23号,2000,40,民办
芝罘区,烟台市芝罘区白石街道白春社区老年人日间照料中心,芝罘区青年南路268号付29号,1100,10,民办
芝罘区,烟台市芝罘区白石街道长青社区日间照料中心,芝罘区西山华庭1号楼,200,0,公（村）办
芝罘区,烟台市芝罘区奇山街道塔山社区老年人日间照料中心,塔山东路15号东,280,0,公（村）办
芝罘区,烟台市芝罘区奇山街道奇南社区老年人日间照料中心,奇山东街106-1号,200,0,公（村）办
芝罘区,烟台市芝罘区奇山街道迎东社区老年人日间照料中心,桑园路79号-4-0202,290,0,公（村）办
芝罘区,烟台市芝罘区奇山街道长生社区老年人日间照料中心,金沟寨三街009号,242,0,公（村）办
芝罘区,烟台市芝罘区奇山街道四眼桥社区老年人日间照料中心,上夼东路76号,180,0,公（村）办
芝罘区,烟台市芝罘区向阳街道兴隆街社区老年人日间照料中心,芝罘区北大街91号,150,0,公（村）办
芝罘区,烟台市芝罘区向阳街道友谊街社区老年人日间照料中心,烟台市芝罘区向阳街道友谊街社区,200,1,公（村）办
芝罘区,烟台市芝罘区向阳街道胜利路社区老年人日间照料中心,桃花街032-1,210,0,公（村）办
芝罘区,烟台市芝罘区向阳街道所城里社区老年人日间照料中心,南大街61号文化中心东侧负一层,280,1,公（村）办
福山区,清洋朱甲山日间照料中心,清洋街道办事处朱甲山社区,550,20,
福山区,清洋街道办事处南关社区日间照料中心,清洋街道办事处南关社区,500,20,公（村）办
福山区,清洋街道办事处下夼社区日间照料中心,清洋街道办事处下夼社区,580,20,公（村）办
福山区,福新街道垆上居委会日间照料中心,福新街道垆上居委会,380,22,公（村）办
福山区,福新街道大杨家居委会日间照料中心,福新街道大杨家居委会,570,31,公（村）办
福山区,福新街道小杨家居委会日间照料中心,福新街道小杨家居委会,650,40,公（村）办
福山区,福新街道小河子居委会日间照料中心,福新街道小河子居委会,420,28,公（村）办
福山区,清洋街道星河城社区日间照料中心,清洋街道星河城社区,300,20,公（村）建民营
福山区,清洋街道云龙山社区日间照料中心,清洋街道云龙山社区,300,20,公（村）建民营
福山区,清洋街道福惠社区日间照料中心,清洋街道福惠社区,1600,60,公（村）建民营
福山区,清洋街道上夼社区日间照料中心,清洋街道上夼社区,610,20,公（村）办
福山区,高新区福山园泊子社区日间照料中心,高新区福山园泊子社区,330,20,公（村）办
福山区,高新区福山园永福园社区日间照料中心,高新区福山园永福园社区,310,20,公（村）办
福山区,清洋街道史家庄社区城市日间照料中心,清洋街道史家庄社区,300,20,公（村）办
福山区,清洋街道栾家疃社区城市日间照料中心　,清洋街道栾家疃社区,300,20,公（村）办
福山区,高新区万科社区城市日间照料中心,高新区福山园万科社区,300,20,公（村）建民营
福山区,高新区姜刘疃社区城市日间照料中心　,高新区福山园姜刘疃社区,300,10,公（村）办
福山区,高新区小陈家社区城市日间照料中心　,高新区福山园小陈家社区,300,10,公（村）办
福山区,高新区永达街社区城市日间照料中心　,高新区福山园永达街社区,300,10,公（村）建民营
福山区,东厅街道乡村记忆社区日间照料中心,东厅街道乡村记忆社区,400,20,公（村）办
福山区,门楼镇富丽社区日间照料中心,门楼镇富丽新城大旺路399号,430,20,公（村）办
福山区,清洋街道宋家疃社区日间照料中心,清洋街道办事处宋家疃社区,300,10,公（村）办
福山区,门楼镇卫城润景社区日间照料中心,门楼镇卫家疃社区,961,10,公（村）办
牟平区,牟平区为民日间照料中心,烟台市牟平区永安路408号内20号楼,,20,民办
牟平区,牟平区宁海街道盐滩老年人日间照料中心,烟台市牟平区宁海街道盐滩村,,13,公（村）办
牟平区,牟平区宁海街道新牟老年人日间照料中心,烟台市牟平区政府大街669号,,26,公（村）办
牟平区,牟平区宁海街道北翠里老年人日间照料中心,烟台市牟平区北关大街638号,,13,公（村）办
牟平区,牟平区宁海街道石棚老年人日间照料中心,烟台市牟平区宁海街道石硼村,,26,公（村）办
牟平区,牟平区宁海街道董家疃老年人日间照料中心,烟台市牟平区通海路西振兴街南652号,,10,公（村）办
牟平区,牟平区宁海街道邵家塂老年人日间照料中心,烟台市牟平区师范路352号附6号,,20,公（村）办
牟平区,牟平区宁海街道东系山老年人日间照料中心,烟台市牟平区宁海街道东系山村,,20,公（村）办
牟平区,牟平区宁海街道富苑新城老年人日间照料中心,烟台市牟平区宁海大街725号,,10,公（村）办
牟平区,牟平区宁海街道高金埠村老年人日间照料中心,烟台市牟平区通海路228号,,10,公（村）办
牟平区,牟平区宁海街道金岭村老年人日间照料中心,烟台市牟平区金系街551-9号,,26,公（村）办
牟平区,牟平区宁海街道富海老年人日间照料中心,烟台市牟平区宁海大街539号,,18,民办
牟平区,牟平区宁海街道王家疃老年人日间照料中心,烟台市牟平区新城大街643-1号,,20,公（村）办
牟平区,牟平区宁海街道城北村老年人日间照料中心,烟台市牟平区通海路339号,,12,公（村）办
牟平区,牟平区宁海街道西油坊老年人日间照料中心,烟台市牟平区北关大街637号,,10,公（村）办
牟平区,牟平区文化街道雷神庙社区夕阳红老年人日间照料中心,烟台市牟平区东关路655号,,10,公（村）办
牟平区,牟平区文化街道康乐老年人日间照料中心,烟台市牟平区东关路588号,,10,民办
牟平区,牟平区文化街道照格庄老年人日间照料中心,烟台市牟平区东关路658号,,18,公（村）办
牟平区,牟平区文化街道王贺庄老年人日间照料中心,烟台市牟平区正阳路618号,,20,公（村）办
牟平区,牟平区文化街道福元老年人日间照料中心,烟台市牟平区东关路630-10号,,30,民办
牟平区,牟平区文化街道文化里老年人日间照料中心,烟台市牟平区南关大街南四巷18号,,14,公（村）办
牟平区,牟平区文化街道农商里老年人日间照料中心,烟台市牟平区正阳路506号附2号,,12,公（村）办
牟平区,牟平区文化街道沙家庄老年人日间照料中心,烟台市牟平区新建大街520号,,20,公（村）办
牟平区,牟平区文化街道芙蓉河社区荣华老年人日间照料中心,烟台市牟平区新建大街新一巷16号,,40,民办
牟平区,烟台市牟平区文化街道正阳老年人日间照料中心,烟台市牟平区东楼路35号,,12,公（村）办
牟平区,牟平区文化街道庙沟村老年人日间照料中心,烟台市牟平区新建大街578号,,30,公（村）办
牟平区,牟平区文化街道新建里老年人日间照料中心,烟台市牟平区兴华街549号,,12,公（村）办
牟平区,牟平区文化街道老年人日间照料中心,烟台市牟平区正阳路南首689号,,20,公（村）办
牟平区,牟平区文化街道西关老年人日间照料中心,烟台市牟平区南关大街南巷9号,,10,公（村）办
牟平区,牟平区广联老年人日间照料中心,烟台市牟平区正阳路719号,,12,民办
牟平区,牟平区南山老年人日间照料中心,烟台市牟平区正阳路999号,,78,公（村）办
牟平区,牟平区养马岛街道张家庄老年人日间照料中心,烟台市牟平区养马岛张家庄村,,30,公（村）办
牟平区,牟平区养马岛街道孙家疃老年人日间照料中心,烟台市牟平区益寿路56号,,10,民办
牟平区,牟平区养马岛街道马埠崖老年人日间照料中心,烟台市牟平区林海路57号,,40,公（村）办
牟平区,牟平区养马岛街道黄家庄老年人日间照料中心,烟台市牟平区楚齐路79号,,20,公（村）办
牟平区,牟平区养马岛街道洪口老年人日间照料中心,烟台市牟平区洪滨路76号,,16,公（村）办
牟平区,牟平区养马岛街道益寿老年人日间照料中心,烟台市牟平区养马岛街道孙家疃村,,10,公（村）办
牟平区,牟平区养马岛街道驼子村老年人日间照料中心,牟平区养马岛街道驼子社区,,25,公（村）办
牟平区,牟平区武宁街道新安老年人日间照料中心,烟台市牟平区通山路707-90号,,14,公（村）办
牟平区,牟平区宁海街道星泰老年人日间照料中心,烟台市牟平区星泰花园22号-2号楼,,12,民办
莱山区,南山世纪华府社区日间照料中心,滨海路街道南山世纪华府,500,10,公（村）办
莱山区,东轸社区日间照料中心,滨海路街道东轸社区,300,10,公（村）办
莱山区,西轸村日间照料中心,滨海路街道西轸村,300,10,公（村）办
莱山区,学府小区日间照料中心,滨海路街道学府小区,500,10,公（村）办
莱山区,福地隆城社区日间照料中心,滨海路街道福地隆城,300,10,公（村）办
莱山区,莱龙庄村日间照料中心,滨海路街道莱龙庄村,500,10,公（村）办
莱山区,万光府前花园综合养老服务中心,滨海路街道万光府前花园,300,15,民办
莱山区,秀林日间照料中心,滨海路街道德尚世家,400,30,民办
莱山区,金地格林日间照料中心,滨海路街道金地格林,1100,30,民办
莱山区,初家街道日间照料中心,初家街道益丰大厦,600,4,公（村）办
莱山区,曹家社区照料中心,初家街道曹家社区,360,10,公（村）办
莱山区,河西社区照料中心,初家街道河西社区,530,10,公（村）办
莱山区,凤凰社区日间照料中心,初家街道凤凰社区,300,3,公（村）办
莱山区,迎春佳苑社区日间照料中心,初家街道迎春佳苑社区,350,20,公（村）办
莱山区,福道家园日间照料中心,初家街道福道家园,348,10,民办
莱山区,远陵夼照料中心,初家街道远陵夼村,420,10,公（村）办
莱山区,迟家社区日间照料中心,黄海路街道迟家社区,983,20,民办
莱山区,前七夼社区日间照料中心,黄海路街道前七夼社区,1600,10,公（村）办
莱山区,海滨社区日间照料中心,黄海路街道宏川路46号,1650,10,公（村）办
莱山区,黄海社区日间照料中心,黄海路街道黄海社区,1250,20,公（村）办
莱山区,岱山社区日间照料中心,黄海路街道新城北街131号,300,10,公（村）办
莱山区,清泉寨社区日间照料中心,黄海路街道清泉文苑,300,10,公（村）办
莱山区,金海岸日间照料中心,黄海路街道金海岸社区,300,10,公（村）办
莱山区,南陈家疃日间照料中心,莱山经济开发区南陈家疃,390,10,公（村）办
莱山区,贾家疃日间照料中心,莱山经济开发区贾家疃,400,10,公（村）办
莱山区,祁家屯日间照料中心,莱山经济开发区祁家屯,630,10,公（村）办
莱山区,祥和苑日间照料中心,莱山区山海南路4599号,3000,30,民办
蓬莱区,紫荆山街道杏花苑社区老年人日间照料中心,紫荆山街道南环路666号,1750,20,公（村）办
蓬莱区,紫荆山街道司家庄社区老年人日间照料中心,紫荆山街道司家庄社区188号,770,12,公（村）办
蓬莱区,紫荆山街道武霖社区老年人日间照料中心,紫荆山街道武霖社区画河西崖街164号,569,10,公（村）办
蓬莱区,紫荆山街道西关社区老年人日间照料中心,紫荆山街道西关社区学院路东小泰山南路,763,10,公（村）办
蓬莱区,紫荆山街道石岛社区老年人日间照料中心,紫荆山街道石岛社区钟楼南路22号,1640,10,公（村）办
蓬莱区,蓬莱阁街道水城社区老年人日间照料中心,蓬莱阁街道水城社区,840,20,公（村）办
蓬莱区,蓬莱阁街道抹直口社区老年人日间照料中心,蓬莱阁街道抹直口社区原瓶盖厂,1900,12,公（村）办
蓬莱区,蓬莱阁街道邹于社区老年人日间照料中心,蓬莱阁街道邹于社区,760,20,公（村）办
蓬莱区,登州府第小区老年人日间照料中心,蓬莱阁街道登州府第社区,719,18,民办
蓬莱区,蓬莱阁街道碧桂园社区老年人日间照料中心,蓬莱阁街道碧桂园社区小区8号楼,2160,15,民办
蓬莱区,登州街道韩家疃村老年人日间照料中心,登州街道韩家疃社区海市路255--21号,600,30,公（村）办
蓬莱区,登州街道凤凰社区老年人日间照料中心,登州街道凤凰社区,750,20,公（村）办
蓬莱区,登州街道东关社区老年人日间照料中心,登州街道东关街东关社区,300,10,公（村）办
蓬莱区,登州街道遇驾沟村老年人日间照料中心,登州街道遇驾沟村,300,11,公（村）办
蓬莱区,登州街道福乐园社区老年人日间照料中心,登州街道福乐园社区,1013,10,公（村）办
蓬莱区,登州街道汤邱社区老年人日间照料中心,登州街道汤邱社区,1092,22,公（村）办
蓬莱区,烟台市蓬莱区登州街道长裕社区老年人日间照料中心,烟台市蓬莱区东关路162号,1299,12,公（村）办
蓬莱区,登州街道沙河李家社区老年人日间照料中心,登州街道沙河李家社区,500,16,公（村）办
蓬莱区,登州街道三里沟老年人日间照料中心,登州街道三里沟,500,10,公（村）办
蓬莱区,登州街道掺驾疃老年人日间照料中心,登州街道掺驾疃,700,40,公（村）办
龙口市,东莱街道日间照料中心,东莱街道文莱街320号,1500,20,民办
龙口市,东莱街道遇家日间照料中心,东莱街道遇家村,5000,20,公（村）办
龙口市,东莱街道松园社区日间照料中心,东莱街道松园社区,2400,10,民办
龙口市,龙港街道北皂社区日间照料中心,龙港街道北皂村委南,2000,20,民办
龙口市,龙港街道逄家社区日间照料中心,龙港街道渔港路港城花园,2000,20,民办
龙口市,龙港街道和平社区日间照料中心,龙港街道和平路1724号,1100,24,民办
龙口市,龙港街道日间照料中心,龙港街道开发区政海路173号,2000,20,民办
龙口市,龙报日间照料中心,东莱街道港城大道396号,2046,10,民办
莱阳市,铁路社区老年人日间照料中心,古城路19号,300,10,民办
莱阳市,金山社区老年人日间照料中心,旌旗东路180号,300,10,民办
莱阳市,莱阳市城厢街道宝山社区老年人日间照料中心,莱阳市马山路107号,300,10,民办
莱阳市,莱阳市城厢街道白龙社区老年人日
间照料中心,莱阳市富水南路110号,1600,20,民办
莱阳市,莱阳市城厢街道盛隆社区老年人日间照料中心,莱阳市五龙北路59号,1400,10,民办
莱阳市,莱阳市城厢街道鸿达社区老年人日间照料中心,莱阳市文化路11号,400,10,民办
莱阳市,莱阳市城厢街道天龙社区老年人日间照料中心,莱阳市马山路148号,300,10,民办
莱阳市,莱阳市城厢街道公园社区老年人日间照料中心,莱阳市龙门东路358号,1100,10,民办
莱阳市,莱阳市城厢街道龙门社区老年人日间照料中心,莱阳市龙门路9号龙龙门社区居委会二楼,400,10,民办
莱阳市,莱阳市富水社区老年人日间照料中心,莱阳市富水路88号,475,20,民办
莱阳市,莱阳市五龙社区老年人日间照料中心,莱阳市白龙路99号,1900,20,民办
莱州市,莱州市永安路街道河滨社区老年人日间照料中心,莱州市永安路街道南阳河东路2226号,822,10,
莱州市,莱州市文昌路街道教育路社区老年人日间照料中心,莱州市文昌路街道教育路社区,780,10,民办
莱州市,莱州市文昌路街道鼓楼街社区老年人日间照料中心,莱州市文昌路街道鼓楼街社区,760,10,民办
莱州市,莱州市文昌路街道汇泉社区老年人日间照料中心,莱州市文昌路街道汇泉社区,312,10,民办
莱州市,莱州市文昌路街道文泉社区老年人日间照料中心,莱州市文昌路街道文泉社区,760,10,民办
莱州市,莱州市文昌路街道光州社区老年人日间照料中心,莱州市文昌路街道光州社区,368,10,民办
莱州市,莱州市城港路北苑社区老年人日间照料中心,莱州市城港路北苑社区,360,10,民办
莱州市,莱州市金仓街道黄金海岸社区老年人日间照料中心,莱州市金仓街道298号,1610,10,民办
莱州市,莱州市永安路街道西关社区老年人日间照料中心,莱州市王母宫里街2号,880,20,民办
莱州市,莱州市永安路街道西苑社区博爱老年人日间照料中心,莱州市府前西街68号,350,10,民办
莱州市,莱州市城港路街道朱杲社区老年人日间照料中心,莱州市城港路西朱杲社区,307,20,民办
莱州市,莱州市永安路街道镁矿社区老年人日间照料中心,永安路街道镁矿社区,1270,20,公（村）办
莱州市,莱州市文昌路街道东南隅社区老年人日间照料中心,文昌路街道东南隅社区,1060,10,公（村）办
莱州市,莱州市府前街社区老年人日间照料中心,莱州市文昌路街道府前街,1200,10,民办
莱州市,莱州市文昌路街道东关社区日间照料中心,文昌路街道东关社区,1670,20,民办
莱州市,莱州市文昌路街道定海社区日间照料中心,文昌路街道定海社区,788,10,民办
莱州市,莱州市文峰路街道福禄苑社区老年人日间照料中心,莱州市文峰路街道阳关村,3000,50,公（村）办
莱州市,莱州市文峰路街道府林社区日间照料中心,莱州市文峰路街道府林社区,852,20,公（村）办
莱州市,莱州市文昌路街道西岭子社区日间照料中心,文昌路街道西岭子社区,752,10,公（村）办
莱州市,莱州市程郭镇英才社区老年人日间照料中心,莱州市程郭镇英才社区,320,10,公（村）办
莱州市,莱州市文昌路街道东岭子社区老年人日间照料中心,文昌路街道东岭子社区,758,10,公（村）办
莱州市,莱州市文昌路街道碑坡社区老年人日间照料中心,文昌路街道碑坡社区,1100,10,公（村）办
莱州市,莱州市城港路街道小原社区老年人日间照料中心,莱州市城港路街道小原社区,320,15,公（村）办
莱州市,莱州市文昌路街道毛家庄子日间照料中心,莱州市文昌路街道毛家庄子村,1800,20,公（村）办
莱州市,莱州市文昌路街道东庄头日间照料中心,莱州市文昌路街道东庄头,775.9,20,公（村）办
莱州市,莱州市文昌路街道饮马池日间照料中心,莱州市文昌路街道饮马池,3462,20,公（村）办
莱州市,莱州市三山岛街道王贾社区日间照料中心,莱州市三山岛街道王贾社区,1050,20,公（村）办
莱州市,莱州市金仓街道南杨社区日间照料中心,莱州市金仓街道南杨社区,430,20,公（村）办
莱州市,莱州市文昌路街道崇文社区日间照料中心,莱州市文昌路街道崇文社区,600,10,公（村）办
