县市区,机构名称,地址,建筑面积
芝罘区,毓璜顶街道文化苑社区市民社区食堂,文化二巷32号部分房屋,500
福山区,天府市民社区食堂,福山区阳光首院小区西门,500
福山区,德胜市民社区食堂,福山区德胜凯旋花园西门,500
高新区,海澜社区食堂,高新区力高阳光海岸11号楼121网点,330
高新区,蓝海社区食堂,高新区金海铭园小区E01网点,700
芝罘区,毓西社区市民社区食堂,南大街96号,900
芝罘区,西海岸社区市民社区食堂,芝罘区环海路58号,700
芝罘区,西炮台社区市民社区食堂,芝罘区西山路80号6-11号,567
芝罘区,华茂社区市民社区食堂,芝罘区朝阳街86号,1027
芝罘区,翡翠社区市民社区食堂,毓璜顶街道翡翠社区通世里50号,240
芝罘区,万科御龙山市民社区食堂,奇山街道竹林路1016号附14号,485
芝罘区,南通社区市民社区食堂,毓璜顶街道南通社区翠苑里12号,160
芝罘区,顺河社区市民社区食堂,通伸街道顺河社区前进路1号网点526号,400
芝罘区,海岸路社区市民社区食堂,东山街道海岸路社区南大街303号国贸一楼裙楼,214
芝罘区,中台社区市民社区食堂,凤凰台街道中台社区凤凰台路93号,240
芝罘区,大东社区市民社区食堂,世回尧街道大东社区通世路38号,320
芝罘区,航院社区市民社区食堂,东山街道航院社区二马路187-12甲,300
芝罘区,黄务社区市民社区食堂,卧龙园区卧龙中路23号,300
芝罘区,西牟社区市民社区食堂,只楚街道魁玉路509号附77号,214.81
芝罘区,青华社区市民社区食堂,白石街道青华社区青年南路58号,230.66
芝罘区,大疃社区市民社区食堂,芝罘岛街道大疃社区佳苑街于芝罘岛东路交叉口西,300
芝罘区,胜利路社区市民社区食堂,向阳街道胜利路社区面市街034号,320
芝罘区,大海阳壹家生活社区厨房,芝罘区大海阳路付53号,160
福山区,清洋朱甲山日间照料中心,清洋街道办事处朱甲山社区,550
福山区,清洋街道办事处南关社区日间照料中心,清洋街道办事处南关社区,500
福山区,清洋街道办事处下夼社区日间照料中心,清洋街道办事处下夼社区,580
福山区,福新街道垆上居委会日间照料中心,福新街道垆上居委会,380
福山区,福新街道大杨家居委会日间照料中心,福新街道大杨家居委会,570
福山区,福新街道小杨家居委会日间照料中心,福新街道小杨家居委会,650
福山区,福新街道小河子居委会日间照料中心,福新街道小河子居委会,420
福山区,清洋街道星河城社区日间照料中心,清洋街道星河城社区,300
福山区,清洋街道云龙山社区日间照料中心,清洋街道云龙山社区,300
福山区,清洋街道福惠社区日间照料中心,清洋街道福惠社区,1600
福山区,清洋街道上夼社区日间照料中心,清洋街道上夼社区,610
福山区,高新区福山园泊子社区日间照料中心,高新区福山园泊子社区,330
福山区,高新区福山园永福园社区日间照料中心,高新区福山园永福园社区,310
福山区,清洋街道史家庄社区城市日间照料中心,清洋街道史家庄社区,300
福山区,清洋街道栾家疃社区城市日间照料中心　,清洋街道栾家疃社区,300
福山区,高新区万科社区城市日间照料中心,高新区福山园万科社区,300
福山区,高新区姜刘疃社区城市日间照料中心　,高新区福山园姜刘疃社区,300
福山区,高新区小陈家社区城市日间照料中心　,高新区福山园小陈家社区,300
福山区,高新区永达街社区城市日间照料中心　,高新区福山园永达街社区,300
福山区,东厅街道乡村记忆社区日间照料中心,东厅街道乡村记忆社区,400
福山区,门楼镇富丽社区日间照料中心,门楼镇富丽新城大旺路399号,430
福山区,清洋街道宋家疃社区日间照料中心,清洋街道办事处宋家疃社区,300
福山区,门楼镇卫城润景社区日间照料中心,门楼镇卫家疃社区,961
福山区,万科市民社区食堂,高新区福山园万科社区,350
福山区,福惠市民社区食堂,清洋街道福惠社区,200
福山区,三里店市民社区食堂,福山区永安街261-23号24号,158
福山区,奇泉路市民社区食堂,福山区同福街60-8号,260
牟平区,快活岭社区市民社区食堂,工商大街 579-7 号,1000
牟平区,康悦老年食堂,兴华街50号,
牟平区,文化老年食堂,正阳路719号,
牟平区,观水老年食堂 ,观水镇观水村,
牟平区,养马岛老年食堂,养马岛洪口村,
牟平区,龙泉老年食堂,龙泉镇龙泉汤村,
牟平区,大窑老年食堂,大窑镇政府驻地,
牟平区,水道老年食堂,水道镇刘家夼村,
牟平区,玉林店老年食堂,玉林店镇驻地,
牟平区,王格庄老年食堂,王格庄镇驻地,
牟平区,高陵老年食堂,高陵镇下雨村,
牟平区,莒格庄老年食堂,莒格庄镇蒿口村,
牟平区,姜格庄老年食堂,姜格庄街道驻地,
牟平区,新城街社区006号市民社区食堂,牟平区新区大街639号,412.42
牟平区,文兴路社区005号市民社区食堂,牟平区文兴路506号,769.57
牟平区,通海路社区011号市民社区食堂,宁海街道通海路社区,310
牟平区,社会福利综合服务中心老年食堂,牟平区正阳路999号,
牟平区,社会福利中心老年食堂,牟平区宁海大街539号,
牟平区,新城花苑综合养老服务中心老年食堂,宁海街道新城花苑社区新城大街669号,100
牟平区,为民日间照料老年食堂,牟平区永安路408号内20号楼,1500
牟平区,兴华老年食堂,牟平区工商大街721号,
牟平区,福荣老年食堂,牟平区文兴路532-1号,
牟平区,馨慧老年食堂,牟平区东关路701-15号,
牟平区,儒家老年食堂,牟平区南关大街818号,
牟平区,紫宸老年食堂,牟平区大窑街道曲格庄村,
牟平区,温馨老年食堂,牟平区新区大街689号,
牟平区,福康老年食堂,牟平区北关大街811号,
牟平区,浩岭湖老年食堂,牟平区西郊路789号,
牟平区,幸福老年食堂,牟平区西郊路829—10号,
牟平区,城北村日间照料老年食堂,牟平区通海路339号,760
莱山区,迟家市民社区食堂,黄海路街道迟家社区,350
莱山区,鹿鸣北区市民社区食堂,黄海路街道鹿鸣小区,240
莱山区,鹿鸣南区市民社区食堂,黄海路街道鹿鸣小区,1000
莱山区,杰瑞祥和苑市民社区食堂,莱山经济开发区山海路4599号,380
莱山区,河东新城市民社区食堂,初家街道河东新城小区,300.48
莱山区,鑫龙旺源社区食堂,莱山经济开发区鑫龙旺源小区,220
莱山区,万泰麓溪公馆市民社区食堂,黄海路街道万泰麓溪公馆小区,600
莱山区,圣莱恩综合养老服务中心,黄海路街道,260
莱山区,黄海明珠山庄社区社区老年助餐点,黄海路街道,30
莱山区,祥隆社区社区老年助餐点,黄海路街道,70
莱山区,华润社区社区老年助餐点,黄海路街道,54
莱山区,圣莱恩综合服务中心,莱山街道,190
莱山区,东沟村助餐点,莱山街道,40
莱山区,南村助餐点,莱山街道,36
莱山区,明泉村助餐点,莱山街道,44
莱山区,千金村助餐点,莱山街道,30
莱山区,金村助餐点,莱山街道,45
莱山区,曲村助餐点,莱山街道,35
莱山区,朱塂堡村助餐点,莱山街道,60
莱山区,解村老年食堂,莱山街道,60
莱山区,河西社区助餐点,初家街道,80
莱山区,远陵夼村助餐点,初家街道,120
莱山区,曹家社区助餐点,初家街道,100
莱山区,界牌村助餐点,初家街道,80
莱山区,凤凰小区助餐点,初家街道,45
莱山区,宋家庄村助餐点,初家街道,60
莱山区,安康通综合养老服务中心助餐点,初家街道,100
莱山区,院格庄社区老年食堂,院格庄街道,80
莱山区,北格庄社区老年食堂,院格庄街道,150
莱山区,马格庄社区老年食堂,院格庄街道,148
莱山区,沐浴社区老年食堂,院格庄街道,100
莱山区,初家汤村老年食堂,院格庄街道,150
莱山区,郑家庄村老年食堂,院格庄街道,80
莱山区,万光府前花园老年食堂,滨海路街道,90
莱山区,秀林日间照料中心助餐点,滨海路街道,85
莱山区,福地隆城社区助餐点,滨海路街道,80
莱山区,孔辛头助餐点,解甲庄街道,120
莱山区,车家助餐点,解甲庄街道,90
莱山区,南水桃林助餐点,解甲庄街道,114
莱山区,冶头东助餐点,解甲庄街道,100
莱山区,北水桃林助餐点,解甲庄街道,83
莱山区,林家疃助餐点,解甲庄街道,100
莱山区,朱柳助餐点,解甲庄街道,84
莱山区,李家疃助餐点,解甲庄街道,80
莱山区,丁家夼助餐点,解甲庄街道,83
莱山区,解家河助餐点,解甲庄街道,150
莱山区,繁荣庄助餐点,解甲庄街道,100
莱山区,大山后助餐点,解甲庄街道,90
莱山区,东解甲庄助餐点,解甲庄街道,110
莱山区,西解甲庄助餐点,解甲庄街道,80
莱山区,冶头北助餐点,解甲庄街道,80
莱山区,冶头南助餐点,解甲庄街道,80
莱山区,姜家疃助餐点,解甲庄街道,80
莱山区,秀林老年福利中心综合助餐点,莱山经济开发区,668
莱山区,曹家庄社区综合助餐点,莱山经济开发区,500
莱山区,盛水庄助餐点,莱山经济开发区,30
莱山区,杰瑞社区老年食堂,莱山经济开发区,380
莱山区,刘家庄村助餐点,莱山经济开发区,40
莱山区,祁家屯村助餐点,莱山经济开发区,85
莱山区,石家疃村助餐点,莱山经济开发区,47
莱山区,两甲埠村助餐点,莱山经济开发区,30
莱山区,黄家疃村助餐点,莱山经济开发区,85
莱山区,何家屯社区助餐点,莱山经济开发区,260
蓬莱区,杏花苑社区食堂,紫荆山街道南环路666号,300
蓬莱区,海景苑社区食堂,海市路5号盛唐快捷酒店院内,238
龙口市,长者食堂南山康养中心店,龙口市南山康养中心,2000
龙口市,长者食堂海岱社区一店,阿波罗生物科技有限公司,300
龙口市,长者食堂财源社区一店,龙口市港城大道369号,180
龙口市,长者食堂怡静社区一店,龙口市电业小区,160
龙口市,长者食堂花苑社区一店,龙口市花苑社区,180
龙口市,长者食堂胜利社区店,龙口市胜利小区,500
龙口市,长者食堂九南社区店,龙口市东江街道九里城,450
龙口市,长者食堂归城董家店,龙口市兰高镇归城董家,300
龙口市,长者食堂明德社区一店,龙口市东莱街道幸福里小区,360
龙口市,长者食堂驿东社区店,龙口市黄山馆镇驿东小区,150
龙口市,长者食堂柳行社区店,龙口市东莱街道柳行小区南首,300
莱州市,西小区助餐点,永安路街道西小区社区,60
莱州市,仁爱桃源助餐点,永安路街道西关社区,80
莱州市,玉皇苑小区助餐点,城港路街道玉皇苑社区,80
莱州市,云峰名苑助餐点,莱州市东苑路,32.65
莱州市,芳馨苑助餐点,开宝路4187号,55.18
莱州市,开建宝第助餐点,文化东街,35.5
莱州市,金地家园助餐点,文泉西街,33.7
莱州市,开建小区助餐点,西郎子埠村北,44
莱州市,康馨苑助餐点,东郎子埠开元路西玉前路南,67.1
莱州市,福鑫花园助餐点,啤酒厂南,71.5
莱州市,天和苑助餐点,莱州市东苑路与五里街交汇处566号,32.12
莱州市,金都社区助餐点,莱州北路金都社区,100
莱州市,云峰花园社区助餐点,五里街1059号,100
莱州市,子福馄饨助餐点,城港街道开元路127号,50
莱州市,浩娟黄焖鸡助餐点,城港十里庄园小区,45
莱州市,东耀饭店助餐点,光州东路475号,50
莱州市,世纪羊肉村助餐点,文化西路,160
莱州市,泉涌助餐点,教育路西门,80
莱州市,回家吃饭助餐点,府前西街139号,100
莱州市,骄子聚助餐点,府前东街文博苑小区,50
莱州市,丰鑫747鱼馆助餐点,文泉西街,50
莱州市,竹林源助餐点,云峰小区,90
莱州市,浩顺助餐点,教育路小区东门,40
莱州市,大娜助餐点,文昌北路 路西,40
莱州市,鑫禾助餐点,北苑路,80
莱州市,泉宏助餐点,石坊路路北,45
莱州市,郑记农家海鲜助餐点,汇泉B区路北,100
莱州市,川香鱼馆助餐点,光州西街720号,50
莱州市,鹅公鹅婆助餐点,汇泉B区路南,35
莱州市,鼓楼社区助餐点,文昌路街道府前街,1000
莱州市,盛世桃源助餐点,文昌路街道文化东路225号,2000
莱州市,惠家餐饮中央厨房,文峰路街道,100
招远市,金晖社区市民食堂,金街18号,800
海阳市,阳光社区市民食堂,海阳市方圆街道阳光社区,600
海阳市,北山社区市民食堂,海阳市东村街道北山社区,153
开发区,金东市民社区食堂,福莱山街道金东社区,160
开发区,万科城市民社区食堂,古现街道和万家社区,370
开发区,中建悦海市民社区食堂,八角街道中建悦海社区,156
开发区,海韵市民社区食堂,八角街道海韵社区,550
开发区,恒祥市民社区食堂,大季家街道恒祥社区,152
开发区,蜜橙社区食堂,福莱山街道福星社区,400
开发区,金光社区食堂,福莱山街道金光社区,320
开发区,磁山颐生苑社区食堂,古现街道磁山社区,210
高新区,容大社区食堂,高新区容大东海岸1-107商铺,398.87
高新区,铭仕城社区食堂,高新区铭仕城2-202商铺,421
高新区,中海社区食堂,高新区中海国际77号楼107/108/109/110商铺,512.27
长岛,市民社区食堂,长岛荻沟闻涛花园,270
