街道名称,小区名称,住户人数,建筑面积,机构名称
只楚,楚泰,1900,300,楚泰社区养老活动中心
只楚,芝水小区,2037,200,楚毓社区养老活动中心
只楚,鼎城2008小区,2472,500,锦园社区唯智活动中心
只楚,辰源雅景小区,1880,300,东南哨社区党群活动中心
只楚,康和新城小区,2837,500,康和新城活动中心
只楚,玺萌小区,2286,500,楚毓社区养老活动中心
芝罘岛,万科海云台,852,413,老年活动中心
芝罘岛,佳苑街小区,2986,603,老年活动中心
芝罘岛,海悦花园,903,603,老年活动中心
毓璜顶,海防营社区,1803,300,海防营社区老年人活动中心
毓璜顶,毓东社区,3378,572,维国仁慢性病门诊医养中心、毓璜顶东社区老年人活动中心
毓璜顶,海港社区,1100,180,海港社区老年人活动中心
毓璜顶,毓西社区,3345,600,毓璜顶西社区老年人活动中心
毓璜顶,大海阳社区,2500,1200,大海阳社区老年人活动中心
毓璜顶,黄山南社区,1034,290,黄山南社区老年人活动中心
幸福街道,华信家园,4033,670,华信社区老年人日间照料中心
幸福街道,信达社区信达小区,1350,328,信达社区老年人活动中心
幸福街道,幸福社区宏达小区，邮政小区,1680,258,幸福社区老年人活动中心
幸福街道,德泰社区万泰花园一期,956,150,德泰社区老年人活动中心
幸福街道,新世界社区新世界小区,5260,911,新世界社区老年人活动中心
幸福街道,幸海里社区祥裕顺家园,775,300,幸海里社区老年人活动中心
幸福街道,祥发社区祥祯小区,1908,500,宏发养老院
幸福街道,福泰社区福泰小区,3218,480,福泰社区老年人日间照料中心
幸福街道,开源社区开元新村,2230,1500,开源社区老年人活动中心
幸福街道,兴港社区海港小区,2500,380,兴港社区老年人活动中心
幸福街道,盛世社区东西福泰小区,1433,290,盛世社区老年人活动中心
幸福街道,龙海家园A区,2078,2236.56,烟台市芝罘区 幸福龙海老年人颐养中心
幸福街道,龙海家园D区,1800,2236.56,烟台市芝罘区 幸福龙海老年人颐养中心
幸福街道,幸福河小区,3985,600,幸福河社区老年人活动中心
幸福街道,幸国里小区,2778,200,幸国里社区老年人活动中心
幸福街道,环海路小区,856,400,环海路社区老年人活动中心
幸福街道,万华小区,3228,640,万华日间照料中心
幸福街道,幸芝里社区幸芝里小区,2523,600,幸芝里社区老年人活动中心
幸福街道,福源路居委福源路小区,2629,450,福源路社区老年人活动中心
幸福街道,幸福街道福茂社区福茂小区,3113,500,福茂社区老年人活动中心
幸福街道,支农里社区支农里小区,2952,670.9,支农里社区日间照料中心
幸福街道,福学居委,1114,310,福学居委老年人活动中心
向阳,胜利小区,3016,1800,友谊街社区、建昌街社区日间照料中心
向阳,万达公馆,860,500,友谊街社区日间照料中心
通伸,西山小区,1632,600,西炮台社区老年人活动中心
