序号,小区名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,楚泰,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
2,芝水小区,121.32404335050278,37.525598027545094,1,70,地产小区,bd09,,删除
3,鼎城2008小区,121.31954993651134,37.53423254495829,1,70,地产小区,bd09,,删除
4,辰源雅景小区,121.34154512658424,37.524087985222856,1,70,地产小区,bd09,,删除
5,康和新城小区,121.33240199344257,37.52609814848384,1,70,地产小区,bd09,,删除
6,玺萌小区,121.30586883342491,37.54774270298192,1,70,地产小区,bd09,,删除
7,万科海云台,121.37410079623244,37.603458501328326,1,70,地产小区,bd09,,删除
8,佳苑街小区,121.3866553343788,37.61165227392321,1,70,地产小区,bd09,,删除
9,海悦花园,121.3911200924245,37.61025569199115,1,70,地产小区,bd09,,删除
10,海防营社区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
11,毓东社区,121.3976246327917,37.540065324638014,1,70,地产小区,bd09,,删除
12,海港社区,119.60623115089884,39.95443191172383,0,25,乡镇,bd09,,删除
13,毓西社区,121.39052640231294,37.54443315184059,1,70,地产小区,bd09,,删除
14,大海阳社区,121.1804581977879,36.693269738228416,0,20,区县,bd09,,删除
15,黄山南社区,121.38314574458187,37.53821964497964,1,70,地产小区,bd09,,删除
16,华信家园,121.37159982386211,37.566087999208484,1,70,地产小区,bd09,,删除
17,信达社区信达小区,121.37159829818005,37.58494837596578,1,70,地产小区,bd09,,删除
18,幸福社区宏达小区，邮政小区,121.36856696479933,37.57842200618727,1,70,地产小区,bd09,,删除
19,德泰社区万泰花园一期,121.37039456735938,37.5774555010325,1,70,地产小区,bd09,,删除
20,新世界社区新世界小区,121.3600060234587,37.57002618743696,1,70,地产小区,bd09,,删除
21,幸海里社区祥裕顺家园,121.35809608343729,37.57417393971133,1,70,地产小区,bd09,,删除
22,祥发社区祥祯小区,121.36265539589927,37.58506529637925,1,70,地产小区,bd09,,删除
23,福泰社区福泰小区,121.35326603721732,37.58267496470773,1,70,地产小区,bd09,,删除
24,开源社区开元新村,121.35517313981501,37.573064599904406,1,70,地产小区,bd09,,删除
25,兴港社区海港小区,120.33568657586324,37.661999233316934,0,50,NoClass,bd09,,删除
26,盛世社区东西福泰小区,121.35326603721732,37.58267496470773,1,70,地产小区,bd09,,删除
27,龙海家园A区,121.36912301591,37.59164401022004,1,70,地产小区,bd09,,删除
28,龙海家园D区,121.3732499212534,37.588195809594126,1,70,地产小区,bd09,,删除
29,幸福河小区,121.35426899531922,37.570879026299075,0,50,NoClass,bd09,,删除
30,幸国里小区,121.35156940760064,37.574512151078075,1,70,地产小区,bd09,,删除
31,环海路小区,119.95001455600897,37.38307398188632,0,30,道路,bd09,,删除
32,万华小区,121.3642206932504,37.57101102345191,1,70,地产小区,bd09,,删除
33,幸芝里社区幸芝里小区,121.36246127207856,37.57940587227388,1,70,地产小区,bd09,,删除
34,福源路居委福源路小区,120.30189295139172,37.35229599395748,0,30,道路,bd09,,删除
35,幸福街道福茂社区福茂小区,121.35950369101751,37.58419417654411,1,70,地产小区,bd09,,删除
36,支农里社区支农里小区,121.37164087642392,37.570251285797696,0,50,村庄,bd09,,删除
37,福学居委,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
38,胜利小区,121.39968336935947,37.537766891670415,1,70,地产小区,bd09,,删除
39,万达公馆,121.40098357675461,37.538521598205186,1,70,地产小区,bd09,,删除
40,西山小区,120.71653550360388,36.9873665503101,1,70,地产小区,bd09,,删除
41,同和馨园,121.36930438379247,37.55414071971268,1,70,地产小区,bd09,,删除
42,芝罘屯,121.36457830867393,37.56512548019419,1,70,汽车服务,bd09,,删除
43,西山,102.67155712350362,25.043198760946844,0,20,区县,bd09,,删除
44,永恒,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
45,铁路小区,121.35978638776149,37.565732240484266,1,70,地产小区,bd09,,删除
46,阳光御景,119.95965418260599,37.198064443177245,1,70,地产小区,bd09,,删除
47,西山颐苑,121.37263170740144,37.55343845477627,1,70,地产小区,bd09,,删除
48,供销家园,121.37294782111039,37.557007713763994,1,70,地产小区,bd09,,删除
49,钢厂小区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
50,烟铁家园,121.37517984081104,37.55973671526377,1,70,地产小区,bd09,,删除
51,三水佳苑,121.38679690732717,37.55257804775784,1,70,地产小区,bd09,,删除
52,新建东巷,121.3865875123128,37.55295196485669,0,30,道路,bd09,,删除
53,新建西巷,121.38552230163907,37.553418357270246,0,30,道路,bd09,,删除
54,三明街,121.3858276356819,37.554128811517785,0,30,道路,bd09,,删除
55,永安里,121.38415049929478,37.553787692771564,0,30,道路,bd09,,删除
56,青年路,120.33496847493008,37.685240606355116,0,30,道路,bd09,,删除
57,数码港,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
58,交通委家属楼,121.38343733455041,37.55251417840851,1,70,地产小区,bd09,,删除
59,集贤街,121.38419334846759,37.554486879014,0,30,道路,bd09,,删除
60,西盛街,121.45261072153241,37.49027070729453,0,30,道路,bd09,,删除
61,西盛四巷,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
62,西盛五巷,121.38194155167285,37.548796058910696,0,30,道路,bd09,,删除
63,南大街,120.35118378319916,37.476207785716085,0,30,道路,bd09,,删除
64,东方巴黎小区,121.37693728571075,37.55238658258898,0,50,NoClass,bd09,,删除
65,木钟厂小区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
66,北极星花园小区,121.37516870182272,37.55076379344367,1,70,地产小区,bd09,,删除
67,中萃苑小区,121.37805702352894,37.549098053336934,1,70,地产小区,bd09,,删除
68,公路局小区,121.45023632040844,37.50744220714899,1,70,地产小区,bd09,,删除
69,通伸北街,121.38057479421232,37.552130031359034,0,30,道路,bd09,,删除
70,怡丰佳苑,121.3740015334736,37.508830428680604,1,70,地产小区,bd09,,删除
71,金帝佳园,121.36898916838902,37.51013017203717,1,70,地产小区,bd09,,删除
72,馨逸园,121.36429086429548,37.48781181023216,1,70,地产小区,bd09,,删除
73,阳光上城,121.36723657433906,37.520801488533955,1,70,地产小区,bd09,,删除
74,润鼎家园,121.37558497659603,37.516218595378575,1,70,地产小区,bd09,,删除
75,中拓假日,121.37283840749927,37.51274833918747,1,70,休闲娱乐,bd09,,删除
76,奇南社区,121.4085238633748,37.52299412436798,1,70,地产小区,bd09,,删除
77,nan,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
78,四眼桥社区,121.40793098173822,37.53207801646692,1,70,地产小区,bd09,,删除
79,塔山社区,120.9351367121682,37.71118837785661,0,50,NoClass,bd09,,删除
80,迎东社区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
81,上夼西路社区,121.40481844297669,37.52643699817387,0,30,道路,bd09,,删除
82,迎西社区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
83,长生社区,121.43804227226322,37.53622562107735,1,70,地产小区,bd09,,删除
84,奇中社区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
85,山水龙城,121.38151981160881,37.49136018431507,0,50,NoClass,bd09,,删除
86,山水龙城8区,121.38258879516567,37.484974847615575,1,70,地产小区,bd09,,删除
87,姜家社区,121.36580178062952,37.46504792165666,1,70,地产小区,bd09,,删除
88,鑫凤小区,121.36494751223853,37.477097003313354,1,70,地产小区,bd09,,删除
89,初家卧龙小区,121.37822930114355,37.487699284683075,1,70,地产小区,bd09,,删除
90,竹林苑,120.67080636331295,36.98974742181618,1,70,地产小区,bd09,,删除
91,魁玉花园,121.35339503388856,37.4971459549632,1,70,地产小区,bd09,,删除
92,桦林颐和园,121.35170774664917,37.49689157408324,1,70,地产小区,bd09,,删除
93,通世新城小区,121.38381731778112,37.47724577796915,1,70,地产小区,bd09,,删除
94,优山美地,121.38397622802583,37.47938271609915,1,70,地产小区,bd09,,删除
95,朗郡,121.3830545665726,37.47497976010237,1,70,地产小区,bd09,,删除
96,山水龙城L区,121.38345377354123,37.4810397887202,1,70,地产小区,bd09,,删除
97,现代山水田园小区,121.3629880384296,37.43339896188277,1,70,地产小区,bd09,,删除
98,蓁山社区,121.35341434745702,37.51624299643886,0,50,NoClass,bd09,,删除
99,柏林春天,121.36022242525604,37.45403826208463,1,70,地产小区,bd09,,删除
100,朱家疃小区,121.36192776843619,37.45241037925397,0,50,村庄,bd09,,删除
101,三和绿景,121.35556560949232,37.47583885035542,1,70,地产小区,bd09,,删除
102,三合佳苑,121.35764554607013,37.475562559310355,1,70,地产小区,bd09,,删除
103,金苹果公寓,121.35815596326088,37.47430001282765,1,70,地产小区,bd09,,删除
104,中正山庄,121.35596652324143,37.50454380464321,1,70,地产小区,bd09,,删除
105,卧龙社区,112.54146183375731,32.99248379752679,0,20,区县,bd09,,删除
106,昊佳花园,121.35264342166838,37.47613647601664,1,70,地产小区,bd09,,删除
107,红星国际广场,121.36106296972173,37.470310972080696,0,50,NoClass,bd09,,删除
108,富甲小区,121.35488963459606,37.500870738207404,1,70,地产小区,bd09,,删除
109,傅家小区,121.35331867792021,37.498654399877964,0,50,NoClass,bd09,,删除
110,福兴佳苑小区,121.36111372398305,37.49556389784521,1,70,地产小区,bd09,,删除
