序号,县市区,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,中心,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
2,开发区,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
3,招远市,120.44060165264568,37.36113714256612,0,20,区县,bd09,,删除
4,栖霞市,120.85641658337892,37.341418164799684,0,20,区县,bd09,,删除
5,海阳市,121.1804581977879,36.693269738228416,0,20,区县,bd09,,删除
6,牟平区,121.60654911474143,37.392915451795815,0,20,区县,bd09,,删除
7,福山区,121.27460474743894,37.50366822845149,0,20,区县,bd09,,删除
8,芝罘区,121.40654004548657,37.546312866890936,0,20,区县,bd09,,删除
9,莱山区,121.4513806717976,37.51764858410898,0,20,区县,bd09,,删除
10,莱州市,119.94859307736998,37.18263660907421,0,20,区县,bd09,,删除
11,莱阳市,120.718414309578,36.9846355683041,0,20,区县,bd09,,删除
12,蓬莱区,120.83553511247726,37.801948046001705,0,20,区县,bd09,,删除
13,长岛县,121.45441541730195,37.470038383730525,0,20,城市,bd09,,删除
14,高新区,121.28557934585434,37.48205544867166,0,50,工业园区,bd09,,删除
15,龙口市,120.48536852807433,37.65255512549617,0,20,区县,bd09,,删除
