序号,医疗机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,芝罘区东山街道南沟社区卫生服务站,121.41753512526759,37.53914145330794,1,70,医疗,bd09,,删除
2,莱州市郭家店中心卫生院,120.16737601313898,37.092289596207884,1,70,医疗,bd09,,删除
3,招远市夏甸镇东庄卫生院,120.32349836670386,37.21505884136053,1,70,医疗,bd09,,删除
4,招远市夏甸镇新村卫生院,120.38966790989103,37.19332234997716,1,70,医疗,bd09,,删除
5,招远市大秦家卫生院,120.4536222316906,37.368374832239994,1,70,医疗,bd09,,删除
6,招远市张星中心卫生院,120.35585775659814,37.468981458927466,1,70,医疗,bd09,,删除
7,招远市张星镇宋家卫生院,120.39651838771012,37.485597298988665,1,70,医疗,bd09,,删除
8,招远市毕郭中心卫生院,120.55614628869715,37.22995704762723,1,70,医疗,bd09,,删除
9,招远市泉山街道社区卫生服务中心,120.43241099283624,37.36553495169426,1,70,医疗,bd09,,删除
10,招远市玲珑中心卫生院,120.48555735189252,37.41502599560334,1,70,医疗,bd09,,删除
11,招远市社区卫生服务中心,120.4097412651559,37.38453879798922,1,70,医疗,bd09,,删除
12,招远市蚕庄中心卫生院,120.23064798207317,37.4052890025782,1,70,医疗,bd09,,删除
13,招远市辛庄镇卫生院,120.240184213706,37.50692435477526,1,70,医疗,bd09,,删除
14,招远市道头中心卫生院,120.38117353298868,37.24669477941499,1,70,医疗,bd09,,删除
15,招远市金岭镇卫生院,120.30581899562308,37.40073501294195,1,70,医疗,bd09,,删除
16,招远市金岭镇大户陈家卫生院,120.30591421600714,37.33871813076062,1,70,医疗,bd09,,删除
17,招远市阜山镇南院庄卫生院,120.54094911540155,37.32061713382462,1,70,医疗,bd09,,删除
18,招远市阜山镇栾家河卫生院,120.56916534062272,37.406398790998146,0,50,村庄,bd09,,删除
19,招远市齐山镇大吴家卫生院,120.43709260183205,37.2449673394981,1,70,医疗,bd09,,删除
20,曙光社区服务站,121.61667795851919,37.40386422665427,1,70,地产小区,bd09,,删除
21,栖霞市中医医院翠屏小区社区卫生服务站,120.84864031190124,37.30671682064194,1,70,医疗,bd09,,删除
22,栖霞市中医医院长虹社区,120.84831171174568,37.32062100811497,1,70,地产小区,bd09,,删除
23,栖霞市亭口中心卫生院,121.01658158123034,37.39023527759187,1,70,医疗,bd09,,删除
24,栖霞市唐家泊中心卫生院,121.00256280510273,37.22965326389794,0,25,乡镇,bd09,,删除
25,栖霞市官道镇卫生院,120.63275809445452,37.21579865278007,1,70,医疗,bd09,,删除
26,栖霞市寺口镇卫生院,120.65191850182958,37.32365882022075,0,25,乡镇,bd09,,删除
27,栖霞市庙后镇卫生院,121.1006071921921,37.37761195768478,1,70,医疗,bd09,,删除
28,栖霞市杨础中心卫生院,120.79214129702062,37.19630842686914,1,70,医疗,bd09,,删除
29,栖霞市松山街道社区卫生服务中心,120.83893043781333,37.309044949538844,1,70,医疗,bd09,,删除
30,栖霞市桃村镇卫生院,121.15327107135897,37.19126702620871,1,70,医疗,bd09,,删除
31,栖霞市涌泉社区卫生服务站,120.84163379841506,37.30815206860529,1,70,医疗,bd09,,删除
32,栖霞市翠屏街道社区卫生服务中心,120.83893043781333,37.309044949538844,1,70,医疗,bd09,,删除
33,栖霞市臧家庄中心卫生院,121.00060090586894,37.477066575351294,1,70,医疗,bd09,,删除
34,栖霞市苏家店中心卫生院,120.68702733539826,37.42469816234716,1,70,医疗,bd09,,删除
35,栖霞市蛇窝泊中心卫生院,120.870806988496,37.14165788727148,1,70,医疗,bd09,,删除
36,栖霞市蛇窝泊镇大柳家卫生所,120.93912159541046,37.2357781214335,0,50,村庄,bd09,,删除
