机构名称,环境评分,设施评分,服务评分,伙食评分,文字评价
烟台市老年福利服务中心,5,5,5,5,不错不错，老年人在里面生活得很幸福
烟台市老年福利服务中心,4,5,5,3,好
烟台市老年福利服务中心,5,5,5,3,还可以，以后我也要在这里养老
烟台市老年福利服务中心,4,4,3,5,居然有沉浸式设备！！！！i了i了，老人家太喜欢了
烟台市老年福利服务中心,4,3,5,4,不错。不错
烟台市老年福利服务中心,5,5,5,5,不错。不错
烟台市老年福利服务中心,5,5,5,5,不错。不错
烟台市老年福利服务中心,5,5,5,5,不错。不错
烟台市老年福利服务中心,5,5,5,5,不错。不错
烟台市老年福利服务中心,5,5,5,5,不错。不错
烟台市老年福利服务中心,1,1,1,1,好
烟台市老年福利服务中心,1,1,1,1,好
烟台市老年福利服务中心,1,1,1,1,好
烟台市老年福利服务中心,5,5,5,5,不错不错，老年人在里面生活得很幸福
烟台市老年福利服务中心,5,5,5,5,环境优雅，设施齐全，老人都很满意
烟台市老年福利服务中心,5,5,5,5,老人对养老中心各个方面均很满意
烟台市老年福利服务中心,5,5,5,5,老人们在服务中心生活的惬意
烟台市老年福利服务中心,5,5,4,5,老人们对服务中心普遍满意
烟台市老年福利服务中心,5,5,5,5,伙食丰富，设施齐全，老人在里面生活得很满意
烟台市老年福利服务中心,5,5,5,5,老人在服务中心生活得很幸福
烟台市老年福利服务中心,5,4,5,5,设施基本齐全，能满足老人们日常需求，服务周到，老人很满意
烟台市老年福利服务中心,5,5,5,5,各项评价均不错，老人感觉很满意
烟台市老年福利服务中心,5,5,5,4,菜品种类丰富，老人们普遍满意
烟台市老年福利服务中心,5,4,4,5,好！！！！
烟台市老年福利服务中心,4,3,5,2,.....
烟台市老年福利服务中心,1,3,5,2,.....
烟台市老年福利服务中心,1,1,1,1,不错呀
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市老年福利服务中心,5,1,5,5,好，不错不错
烟台市芝罘区益健老年人颐养中心,4,3,5,5,不错的，我以后也要来这里养老
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
烟台市老年福利服务中心,5,5,5,5,里面的饭菜很可口
