机构名称,床位占用比例,从业人员比例,护理床位比例,空置床位总数,分数,排行,经度,纬度
烟台市顺鑫养老服务有限公司,0.0,34.0,0.08,315,20.02456899,1,121.39795835328864,37.54499036905728
烟台凤翔山庄养老服务中心有限公司,0.0,10.0,0.0,328,6.273963902,2,121.47947391899444,37.44725226851327
莱阳德怡老年公寓,0.24,0.21,1.0,1522,2.657957895,3,120.69493700524416,36.9489829162608
烟台力高鹤安养老服务中心有限公司,0.0,3.0,1.0,28,1.821454522,4,121.53261659499812,37.4516355288516
烟台市正大城发养老服务有限公司,0.33,0.21,0.61,734,1.372464085,5,121.40324955240352,37.4504063083014
招远市金康老年养护中心,0.33,0.32,1.0,674,1.337678667,6,120.44060165264568,37.36113714256612
烟台市芝罘区广济老年人颐养中心,0.07,1.71,0.81,87,1.177779376,7,121.42199889517724,37.53914753379966
烟台市九如城养老服务有限公司,0.28,0.33,0.61,558,1.154285333,8,121.23671502950305,37.48009105367301
烟台城发榆悦康护医院有限公司,0.19,1.09,1.0,241,1.073212613,9,121.47947391899444,37.44725226851327
烟台高新区御花园老年养护中心,0.54,0.2,0.48,547,1.059301307,10,121.15914967244682,36.77189274554538
龙口市同心老年公寓,0.03,0.89,0.85,297,1.050130466,11,120.5349770007101,37.6396878005474
莱州桃源山庄老年公寓,0.22,0.56,0.8,388,1.00899359,12,119.94923204207925,37.23931799529287
莱阳市经济开发区祥福苑老年公寓,0.26,0.09,1.0,551,1.005264999,13,120.62761260049336,36.95363511065916
莱阳鸿福莱颐养中心,0.19,0.54,0.24,403,0.995406653,14,120.7748913159736,36.97696227327829
烟台市芝罘区益健老年人颐养中心,0.1,1.23,0.75,117,0.95139068,15,121.40654004548657,37.546312866890936
华录健康养老发展有限公司烟台分公司,0.32,0.21,0.58,466,0.935334354,16,121.44824603472053,37.52756915699503
海阳市盛泉养老院,0.03,0.75,0.57,136,0.707228501,17,121.19536818281198,36.69897486410141
烟台市芝罘区宝云颐养中心,0.47,0.98,0.87,49,0.696476206,18,121.34140103838044,37.54399696013071
烟台舜世养老服务有限公司,0.29,1.0,1.0,22,0.664209379,19,121.47947391899444,37.44725226851327
烟台芝罘岛老年颐养中心,0.15,0.53,0.26,186,0.637830026,20,121.38883821676804,37.61270165827393
烟台市老年福利服务中心,0.72,0.31,0.42,249,0.629852613,21,121.40829901750566,37.4823320018665
长岛县砣矶镇敬老院,0.2,1.0,0.2,8,0.610792687,22,120.7598360749486,38.17227557549623
烟台开发区磁山颐生苑老年公寓,0.32,0.55,0.45,149,0.608124042,23,121.08367314519296,37.558800288414425
龙口市东江五里桥老年公寓,0.2,0.28,0.7,228,0.587468838,24,120.5386487346516,37.64322152967316
烟台市牟平区浩岭湖养老院,0.08,0.67,1.0,73,0.558503151,25,121.60654911474144,37.392915451795815
烟台经济技术开发区社会福利中心,0.35,0.35,0.17,196,0.541356291,26,121.14315606148608,37.565419957996944
烟台万汇老年公寓有限公司,0.17,0.23,0.62,216,0.539271642,27,121.24185504380056,37.49177170467779
龙口市恒康养老服务中心,0.38,0.26,0.78,202,0.533285024,28,120.52026751747586,37.64379364538279
烟台市芝罘区温暖老年公寓,0.52,0.27,0.49,197,0.529602968,29,121.3065309744163,37.53820226170736
栖霞市瑞康养老服务有限公司,0.27,0.62,0.34,79,0.522903659,30,120.85641658337892,37.34141816479968
烟台市牟平区社会福利中心,0.52,0.31,1.0,172,0.51278815,31,121.62045147047492,37.4028969458217
莱州市文昌敬老院,0.17,0.67,0.29,58,0.512370787,32,119.93759000266992,37.19988696271701
烟台市蓬莱区紫荆山街道舒怡苑老年公寓,0.19,0.36,0.0,184,0.510372675,33,120.78292827571028,37.80569422205719
莱州市永安路街道敬老院,0.16,0.67,0.18,46,0.48154525,34,119.93759000266992,37.19988696271701
招远市金城老年福利服务中心,0.1,0.18,1.0,198,0.481355223,35,120.11478157298804,37.42667068801649
烟台市芝罘区德信老年颐养中心,0.49,0.35,0.42,142,0.478648482,36,121.37261688536051,37.54712005889953
烟台润昌颐养院有限公司,0.1,0.5,0.02,109,0.470525663,37,121.30846349905994,37.53659976397929
海阳市医方养老院,0.24,0.36,1.05,130,0.468305637,38,121.19040962622744,36.74915840151386
济南鲁商福瑞达护理院有限公司烟台分公司,0.5,0.39,0.48,105,0.447365168,39,121.44824603472053,37.52756915699503
烟台经济技术开发区恒达颐养中心,0.55,0.2,0.67,168,0.443129609,40,121.24490299439594,37.57239697931235
海阳市老年公寓,0.6,0.22,0.75,159,0.439834438,41,121.01895238913228,37.08961804937666
栖霞市盛健老年公寓,0.32,0.09,0.5,204,0.439156505,42,120.9398720398335,37.34951696230218
烟台市蓬莱涌泉康护中心,0.55,0.52,1.0,50,0.434169455,43,120.80711110919164,37.79875070421029
龙口市开元养老康复中心,0.7,0.59,1.0,24,0.431649926,44,120.3990172939778,37.61621560070148
烟台莱山区红洁老年养护中心,0.23,0.4,0.0,120,0.428851163,45,121.4197267212203,37.41974197107905
莱州市石都老年公寓,0.37,0.28,0.55,126,0.420804655,46,119.93395069755734,37.0886690019957
烟台市芝罘区东方老年颐养中心,0.73,0.53,1.0,27,0.402083592,47,121.3593460384005,37.5058983007519
招远市东城老年公寓,0.34,0.14,0.07,188,0.397648131,48,120.45439522358194,37.37223793396437
莱阳德昭颐养中心,0.66,0.4,1.0,69,0.396157108,49,120.71946317109143,36.99237711721506
烟台市芝罘区富昌老年公寓,0.48,0.24,0.99,125,0.396048139,50,121.31429853233055,37.53507578152945
烟台市芝罘区天慈颐养中心,0.26,0.35,0.39,89,0.389513492,51,121.3368380955425,37.46460538212347
烟台市牟平区康悦老年公寓,0.19,0.46,0.29,55,0.387011907,52,121.60871025813734,37.380039167293965
烟台市牟平区社会救助综合服务中心,0.41,0.38,0.2,89,0.387000205,53,121.60654911474144,37.392915451795815
龙口市石良镇敬老院,0.18,0.19,0.05,164,0.385396576,54,120.60389131638304,37.54276812743538
烟台圣莱恩养老院有限公司,0.68,0.39,1.0,65,0.383863871,55,121.39165898589992,37.40318196423577
烟台市蕾娜范颐养院,0.68,0.41,1.0,57,0.382284396,56,121.50035503057389,37.436060959610906
府林公寓,0.15,0.3,0.23,110,0.378888475,57,121.45441541730196,37.470038383730525
莱州市社会福利中心,0.66,0.15,1.0,138,0.365335072,58,119.99711226474436,37.17579343807238
海阳市生生老年公寓,0.17,0.15,1.0,134,0.359639104,59,121.16256323338472,36.76348020493692
栖霞市桃村中心敬老院,0.48,0.23,0.6,104,0.356059272,60,121.15699212227295,37.19815384188227
烟台莱山秀林老年福利服务中心,0.75,0.24,0.55,100,0.354812954,61,121.42307901772244,37.418948150144416
莱州市柞村镇中心敬老院,0.34,0.25,0.34,105,0.353005978,62,119.9338402059796,37.08859832854063
烟台小小养老服务有限公司,0.4,0.5,0.6,6,0.351183088,63,121.47947391899444,37.44725226851327
海阳市海大医养院,0.42,0.43,1.0,29,0.348521708,64,121.1804581977879,36.693269738228416
烟台市莱山区圣恩老年公寓,0.32,0.39,0.0,69,0.339775777,65,121.4909893871574,37.43397463772892
海阳市方圆街道办事处敬老院,0.22,0.27,0.55,78,0.337028551,66,121.17909789375416,36.79212280005918
莱州市西由颐寿园托老所,0.38,0.5,0.19,16,0.335771055,67,120.00476214463676,37.366122410818924
莱州市三山岛街道西由敬老院,0.33,0.19,0.37,110,0.329842859,68,119.96154331909348,37.33609317317259
烟台珠玑老年公寓,0.52,0.18,0.56,101,0.322424001,69,121.34424435498065,37.55614169832518
招远市多米养老服务有限公司,0.65,0.27,1.0,68,0.319989962,70,120.44060165264568,37.36113714256612
莱阳市康佳老年公寓,0.33,0.28,0.32,74,0.317613079,71,120.70739668232866,36.95564128284392
招远市龙馨养老服务中心,0.44,0.2,1.0,90,0.316086377,72,120.40752999631252,37.389826419244095
栖霞市杨础中心敬老院,0.47,0.16,0.57,104,0.315932306,73,120.78925665836698,37.196358373472094
栖霞市坤园老年公寓,0.49,0.16,0.21,122,0.315550643,74,120.82344445929628,37.28849715401035
烟台市蓬莱区紫荆山老年社会福利中心,0.57,0.24,0.27,89,0.31361289,75,120.75645099029532,37.81811474208075
烟台市芝罘区老涞福老人公寓,0.4,0.16,0.86,102,0.312788391,76,121.3192011244818,37.53563721851549
招远市阜山镇敬老院,0.42,0.24,1.0,69,0.304805527,77,120.54022364387168,37.32353872202275
招远市金辉老年公寓有限公司,0.16,0.27,1.0,58,0.304507129,78,120.23960552529648,37.506238316463374
海阳市徐家店镇敬老院,0.24,0.19,0.68,84,0.30090288,79,121.00119917733858,37.08801278705269
栖霞市爱尚综合养老服务中心,0.28,0.2,1.0,78,0.296783213,80,120.83539497681772,37.30456271282298
高格庄康华老年公寓,0.6,0.5,0.0,4,0.296361147,81,120.7767956338242,36.7254441199254
莱州市金城镇敬老院,0.51,0.22,0.29,83,0.294506666,82,120.12469653022386,37.42621976002991
海阳市鑫源老年公寓,0.56,0.12,0.76,105,0.2944719,83,121.2215193833268,36.77641931547959
招远市祥和圆老年公寓有限公司,0.45,0.12,1.0,101,0.288133337,84,120.4480843578827,37.36370643486461
莱州市沙河镇敬老院,0.39,0.18,0.5,79,0.286758664,85,119.83465568953696,37.15488403765978
龙口市黄山馆镇敬老院,0.46,0.38,0.36,15,0.282601846,86,120.28851502641491,37.55408514812007
金岭镇敬老院,0.42,0.24,1.0,52,0.277076076,87,120.3098936195858,37.41068915762916
烟台市牟平区兴华老年公寓,0.65,0.22,1.0,59,0.276635468,88,121.59632918278496,37.385616136974654
龙口市枫晚老年公寓,0.81,0.31,1.0,26,0.274150698,89,120.35902509199576,37.642267088768165
莱阳市温馨老年公寓,0.43,0.19,0.2,86,0.273111004,90,120.71953755078766,36.97937086111829
海阳市和平南山老年公寓,0.67,0.2,0.53,62,0.270025401,91,121.17496407145832,36.77157424583166
家和兴老年公寓,0.28,0.36,0.0,36,0.268811142,92,120.6929776212658,36.97033447591368
海阳市小纪镇敬老院,0.4,0.15,0.62,78,0.267906091,93,120.96449513284529,36.88236061583608
龙口市新嘉街道敬老院,0.44,0.23,0.4,56,0.267587703,94,120.47120530442072,37.61769874972226
