机构名称,经度,纬度,县市区,地址,建筑面积
毓璜顶街道文化苑社区市民社区食堂,121.39247635408346,37.54440611346571,芝罘区,文化二巷32号部分房屋,500.0
天府市民社区食堂,120.43880028060651,37.3646114132633,福山区,福山区阳光首院小区西门,500.0
德胜市民社区食堂,121.37858585598268,37.552810136922005,福山区,福山区德胜凯旋花园西门,500.0
海澜社区食堂,120.39942036366013,37.389996084262734,高新区,高新区力高阳光海岸11号楼121网点,330.0
蓝海社区食堂,120.39942036366013,37.389996084262734,高新区,高新区金海铭园小区E01网点,700.0
毓西社区市民社区食堂,121.39247635408346,37.54440611346571,芝罘区,南大街96号,900.0
西海岸社区市民社区食堂,121.37653879738652,37.605256809638725,芝罘区,芝罘区环海路58号,700.0
西炮台社区市民社区食堂,121.3710123320586,37.55192519026164,芝罘区,芝罘区西山路80号6-11号,567.0
华茂社区市民社区食堂,121.40058104605558,37.54694059623672,芝罘区,芝罘区朝阳街86号,1027.0
翡翠社区市民社区食堂,120.43880028060651,37.3646114132633,芝罘区,毓璜顶街道翡翠社区通世里50号,240.0
万科御龙山市民社区食堂,121.4304853669911,37.498693551040255,芝罘区,奇山街道竹林路1016号附14号,485.0
南通社区市民社区食堂,120.43880028060651,37.3646114132633,芝罘区,毓璜顶街道南通社区翠苑里12号,160.0
顺河社区市民社区食堂,120.43880028060651,37.3646114132633,芝罘区,通伸街道顺河社区前进路1号网点526号,400.0
海岸路社区市民社区食堂,119.9390571152288,37.38706678161907,芝罘区,东山街道海岸路社区南大街303号国贸一楼裙楼,214.0
中台社区市民社区食堂,121.35453049205316,37.54789355301046,芝罘区,凤凰台街道中台社区凤凰台路93号,240.0
大东社区市民社区食堂,120.43880028060651,37.3646114132633,芝罘区,世回尧街道大东社区通世路38号,320.0
航院社区市民社区食堂,121.42523396281032,37.5395488451471,芝罘区,东山街道航院社区二马路187-12甲,300.0
黄务社区市民社区食堂,121.4129039112109,37.48789670856058,芝罘区,卧龙园区卧龙中路23号,300.0
西牟社区市民社区食堂,120.43880028060651,37.3646114132633,芝罘区,只楚街道魁玉路509号附77号,214.81
青华社区市民社区食堂,121.37610302938364,37.541829339569865,芝罘区,白石街道青华社区青年南路58号,230.66
大疃社区市民社区食堂,121.3899566969585,37.60776061702804,芝罘区,芝罘岛街道大疃社区佳苑街于芝罘岛东路交叉口西,300.0
胜利路社区市民社区食堂,121.440955297371,37.460673323301286,芝罘区,向阳街道胜利路社区面市街034号,320.0
大海阳壹家生活社区厨房,121.1804581977879,36.693269738228416,芝罘区,芝罘区大海阳路付53号,160.0
清洋朱甲山日间照料中心,121.26752241696774,37.52030870178732,福山区,清洋街道办事处朱甲山社区,550.0
清洋街道办事处南关社区日间照料中心,121.26752241696774,37.52030870178732,福山区,清洋街道办事处南关社区,500.0
清洋街道办事处下夼社区日间照料中心,121.26752241696774,37.52030870178732,福山区,清洋街道办事处下夼社区,580.0
福新街道垆上居委会日间照料中心,121.23034577394564,37.540718358430205,福山区,福新街道垆上居委会,380.0
福新街道大杨家居委会日间照料中心,121.19146127248798,37.533352026023366,福山区,福新街道大杨家居委会,570.0
福新街道小杨家居委会日间照料中心,121.19146127248798,37.533352026023366,福山区,福新街道小杨家居委会,650.0
福新街道小河子居委会日间照料中心,121.19681113095264,37.53546395184743,福山区,福新街道小河子居委会,420.0
清洋街道星河城社区日间照料中心,121.26752241696774,37.52030870178732,福山区,清洋街道星河城社区,300.0
清洋街道云龙山社区日间照料中心,121.24015347350358,37.49219052397582,福山区,清洋街道云龙山社区,300.0
清洋街道福惠社区日间照料中心,121.26764413736431,37.51418419128861,福山区,清洋街道福惠社区,1600.0
清洋街道上夼社区日间照料中心,121.2463089323496,37.51309991621482,福山区,清洋街道上夼社区,610.0
高新区福山园泊子社区日间照料中心,121.26752241696774,37.52030870178732,福山区,高新区福山园泊子社区,330.0
高新区福山园永福园社区日间照料中心,121.26752241696774,37.52030870178732,福山区,高新区福山园永福园社区,310.0
清洋街道史家庄社区城市日间照料中心,121.26447958671378,37.50090137110836,福山区,清洋街道史家庄社区,300.0
清洋街道栾家疃社区城市日间照料中心　,121.26752241696774,37.52030870178732,福山区,清洋街道栾家疃社区,300.0
高新区万科社区城市日间照料中心,121.28557934585434,37.48205544867166,福山区,高新区福山园万科社区,300.0
高新区姜刘疃社区城市日间照料中心　,121.26752241696774,37.52030870178732,福山区,高新区福山园姜刘疃社区,300.0
