小区名称,经度,纬度,街道名称,住户人数,建筑面积,机构名称
楚泰,121.45441541730196,37.470038383730525,只楚,1900.0,300,楚泰社区养老活动中心
芝水小区,121.32404335050278,37.52559802754509,只楚,2037.0,200,楚毓社区养老活动中心
鼎城2008小区,121.31954993651134,37.53423254495829,只楚,2472.0,500,锦园社区唯智活动中心
辰源雅景小区,121.34154512658424,37.524087985222856,只楚,1880.0,300,东南哨社区党群活动中心
康和新城小区,121.33240199344256,37.52609814848384,只楚,2837.0,500,康和新城活动中心
玺萌小区,121.30586883342492,37.54774270298192,只楚,2286.0,500,楚毓社区养老活动中心
万科海云台,121.37410079623244,37.603458501328326,芝罘岛,852.0,413,老年活动中心
佳苑街小区,121.3866553343788,37.61165227392321,芝罘岛,2986.0,603,老年活动中心
海悦花园,121.3911200924245,37.61025569199115,芝罘岛,903.0,603,老年活动中心
海防营社区,121.45441541730196,37.470038383730525,毓璜顶,1803.0,300,海防营社区老年人活动中心
毓东社区,121.3976246327917,37.540065324638014,毓璜顶,3378.0,572,维国仁慢性病门诊医养中心、毓璜顶东社区老年人活动中心
海港社区,119.60623115089884,39.95443191172383,毓璜顶,1100.0,180,海港社区老年人活动中心
毓西社区,121.39052640231294,37.54443315184059,毓璜顶,3345.0,600,毓璜顶西社区老年人活动中心
大海阳社区,121.1804581977879,36.693269738228416,毓璜顶,2500.0,1200,大海阳社区老年人活动中心
黄山南社区,121.38314574458188,37.53821964497964,毓璜顶,1034.0,290,黄山南社区老年人活动中心
华信家园,121.37159982386213,37.56608799920848,幸福街道,4033.0,670,华信社区老年人日间照料中心
信达社区信达小区,121.37159829818005,37.58494837596578,幸福街道,1350.0,328,信达社区老年人活动中心
幸福社区宏达小区，邮政小区,121.36856696479931,37.57842200618727,幸福街道,1680.0,258,幸福社区老年人活动中心
德泰社区万泰花园一期,121.37039456735938,37.5774555010325,幸福街道,956.0,150,德泰社区老年人活动中心
新世界社区新世界小区,121.3600060234587,37.57002618743696,幸福街道,5260.0,911,新世界社区老年人活动中心
幸海里社区祥裕顺家园,121.35809608343727,37.57417393971133,幸福街道,775.0,300,幸海里社区老年人活动中心
祥发社区祥祯小区,121.36265539589928,37.58506529637925,幸福街道,1908.0,500,宏发养老院
福泰社区福泰小区,121.35326603721732,37.58267496470773,幸福街道,3218.0,480,福泰社区老年人日间照料中心
开源社区开元新村,121.355173139815,37.573064599904406,幸福街道,2230.0,1500,开源社区老年人活动中心
