地区,2018年总户数,2019年总户数,总户数增长,2018年总人口,2019年总人口,总人口增长,2018年总人口男,2019年总人口男,总人口男增长,2018年总人口女,2019年总人口女,总人口女增长
合计,2369641,2378317,100.4,6538659,6534515,99.9,3251907,3246673,99.8,3286752,3287842,100.0
市区,699744,732701,104.7,1916653,1980561,103.3,939970,969150,103.1,976683,1011411,103.6
芝罘区,262001,265439,101.3,704239,707678,100.5,342812,343536,100.2,361427,364142,100.8
福山区,108052,108915,100.8,278960,280051,100.4,137480,137898,100.3,141480,142153,100.5
牟平区,155832,159735,102.5,437670,436173,99.7,217351,216253,99.5,220319,219920,99.8
莱山区,80923,83220,102.8,229448,235439,102.6,111450,114206,102.5,117998,121233,102.7
开发区,76953,98361,127.8,220088,272503,123.8,108564,133821,123.3,111524,138682,124.4
高新区,11545,12605,109.2,34063,36581,107.4,16249,17400,107.1,17814,19181,107.7
昆嵛区,4438,4426,99.7,12185,12136,99.5,6064,6036,99.5,6121,6100,99.7
龙口市,244062,242606,99.4,635839,635325,99.9,312841,312368,99.8,322998,322957,100.0
莱阳市,287930,285529,99.2,856860,851250,99.3,435823,432883,99.3,421037,418367,99.4
莱州市,267695,268299,100.2,843617,838931,99.4,418329,415638,99.4,425288,423293,99.5
蓬莱市,172214,154906,89.9,445000,401441,90.2,219957,198592,90.3,225043,202849,90.1
招远市,200331,199651,99.7,562820,560234,99.5,278730,277397,99.5,284090,282837,99.6
栖霞市,239709,237807,99.2,593738,587293,98.9,302136,298938,98.9,291602,288355,98.9
海阳市,242686,241652,99.6,642643,638237,99.3,323657,321344,99.3,318986,316893,99.3
长岛县,15270,15166,99.3,41489,41243,99.4,20464,20363,99.5,21025,20880,99.3
