时间,地区,出生人数,出生率,死亡人数,死亡率,增长人数,增长率,年平均人口
2020,全市,44189,6.77,57534,8.82,-13345,-2.04,6526559
2020,市区,19486,7.9,18254,7.4,1232,0.5,2467653
2020,芝罘区,5393,7.61,4262,6.01,1131,1.6,708953
2020,福山区,5736,10.41,3988,7.23,1748,3.17,551231
2020,牟平区,2520,5.63,4293,9.6,-1773,-3.96,447322
2020,莱山区,3087,11.19,1745,6.32,1342,4.86,275967
2020,蓬莱区,2750,5.68,3966,8.19,-1216,-2.51,484181
2020,龙口市,4002,6.31,5481,8.64,-1479,-2.33,634445
2020,莱阳市,5496,6.48,7972,9.4,-2476,-2.92,847934
2020,莱州市,5083,6.07,6985,8.35,-1902,-2.27,836847
2020,招远市,3847,6.89,5598,10.02,-1751,-3.14,558524
2020,栖霞市,2688,4.92,5557,10.17,-2869,-5.25,546158
2020,海阳市,3587,5.65,7687,12.11,-4100,-6.46,634999
2019,全市,57326,8.77,57323,8.77,3,0,6536587
2019,市区,21554,11.06,14092,7.23,7462,3.83,1948607
2019,芝罘区,7016,9.94,4226,5.99,2790,3.95,705959
2019,福山区,3298,11.8,2037,7.29,1261,4.51,279506
2019,牟平区,3199,7.32,4668,10.68,-1469,-3.36,436922
2019,莱山区,3181,13.69,1491,6.41,1690,7.27,232444
2019,开发区,4082,16.57,1351,5.49,2731,11.09,246296
2019,高新区,702,19.87,208,5.89,494,13.99,35322
2019,昆嵛区,76,6.25,111,9.13,-35,-2.88,12161
2019,龙口市,5419,8.53,5420,8.53,-1,0,635582
2019,莱阳市,7189,8.42,7900,9.25,-711,-0.83,854055
2019,莱州市,6299,7.49,7905,9.4,-1606,-1.91,841274
2019,蓬莱市,2914,6.89,3323,7.85,-409,-0.97,423221
2019,招远市,5131,9.14,5728,10.2,-597,-1.06,561527
2019,栖霞市,3998,6.77,6182,10.47,-2184,-3.7,590516
2019,海阳市,4505,7.03,6456,10.08,-1951,-3.05,640440
2019,长岛县,317,7.66,317,7.66,0,0,41366
2018,全市,57816,8.84,56692,8.67,1124,0.17,6540502
2018,市区,20779,10.9,13430,7.05,7349,3.86,1905553
2018,芝罘区,7034,10.01,4282,6.09,2752,3.92,702747
2018,福山区,3376,12.13,2065,7.42,1311,4.71,278255
2018,牟平区,3162,7.12,4210,9.47,-1048,-2.36,444346
2018,莱山区,2995,13.26,1451,6.42,1544,6.83,225935
2018,开发区,3482,16.17,1140,5.29,2342,10.87,215397
2018,高新区,651,19.86,193,5.89,458,13.97,32782
2018,昆嵛区,79,6.47,89,7.29,-10,-0.82,12215
2018,龙口市,5325,8.37,5452,8.57,-127,-0.2,636492
2018,莱阳市,7777,9.05,7038,8.19,739,0.86,859194
2018,莱州市,6597,7.8,8447,9.99,-1850,-2.19,845932
2018,蓬莱市,3182,7.14,4164,9.34,-982,-2.2,445747
2018,招远市,5212,9.24,5758,10.21,-546,-0.97,564092
2018,栖霞市,3967,6.64,6140,10.28,-2173,-3.64,597202
2018,海阳市,4650,7.21,5937,9.21,-1287,-2,644692
2018,长岛县,327,7.86,326,7.84,1,0.02,41602
2017,全市,72570,11.08,84424,12.89,-11854,-1.81,6548270
2017,市区,25701,13.63,23794,12.62,1907,1.01,1886101
2017,芝罘区,9063,12.97,4368,6.25,4695,6.72,698881
2017,福山区,4248,15.31,4750,17.12,-502,-1.81,277425
2017,牟平区,3875,8.51,11772,25.87,-7897,-17.35,455091
2017,莱山区,3570,16.35,1535,7.03,2035,9.32,218307
2017,开发区,4316,20.94,1169,5.67,3147,15.27,206078
2017,高新区,629,20.75,200,6.6,429,14.15,30320
2017,龙口市,6523,10.24,5485,8.61,1038,1.63,637039
2017,莱阳市,10077,11.65,12775,14.77,-2698,-3.12,865005
2017,莱州市,8322,9.8,8651,10.19,-329,-0.39,849284
2017,蓬莱市,3924,8.76,5896,13.17,-1972,-4.4,447784
2017,招远市,6558,11.59,5533,9.78,1025,1.81,565590
2017,栖霞市,5122,8.46,10341,17.09,-5219,-8.62,605215
2017,海阳市,5989,9.21,11580,17.8,-5591,-8.6,650401
2017,长岛县,354,8.46,369,8.82,-15,-0.36,41852
2016,全市,64831,9.91,46632,7.13,18199,2.78,6543504
2016,市区,23900,12.82,10166,5.45,13734,7.37,1864573
2016,芝罘区,8371,12.06,3669,5.29,4702,6.77,694058
2016,福山区,4237,15.42,1493,5.43,2744,9.99,274783
2016,牟平区,3776,8.24,2662,5.81,1114,2.43,458412
2016,莱山区,3217,15.24,1277,6.05,1940,9.19,211056
2016,开发区,3724,18.81,902,4.56,2822,14.25,198011
2016,高新区,575,20.35,163,5.77,412,14.58,28253
2016,龙口市,5684,8.93,4785,7.52,899,1.41,636609
2016,莱阳市,8544,9.84,5562,6.4,2982,3.43,868535
2016,莱州市,7225,8.49,7432,8.74,-207,-0.24,850759
2016,蓬莱市,3773,8.4,3322,7.4,451,1,448911
2016,招远市,5358,9.46,5089,8.99,269,0.48,566167
2016,栖霞市,4932,8.07,5246,8.58,-314,-0.51,611290
2016,海阳市,5103,7.8,4767,7.28,336,0.51,654576
2016,长岛县,312,7.41,263,6.25,49,1.16,42087
2015,全市,64831,9.91,46632,7.13,18199,2.78,6543504
2015,市区,23900,12.82,10166,5.45,13734,7.37,1864573
2015,芝罘区,8371,12.06,3669,5.29,4702,6.77,694058
2015,福山区,4237,15.42,1493,5.43,2744,9.99,274783
2015,牟平区,3776,8.24,2662,5.81,1114,2.43,458412
2015,莱山区,3217,15.24,1277,6.05,1940,9.19,211056
2015,开发区,3724,18.81,902,4.56,2822,14.25,198011
2015,高新区,575,20.35,163,5.77,412,14.58,28253
2015,龙口市,5684,8.93,4785,7.52,899,1.41,636609
