时间,合计,市区,芝罘区,福山区,牟平区,莱山区,蓬莱区,开发区,高新区,长岛综合试验区,龙口市,莱阳市,莱州市,招远市,栖霞市,海阳市
1990,151335,37970,14365,3256,20349,,10029,,,5855,20434,15340,27868,11198,15089,7552
1991,187366,47418,16905,5941,24572,,12870,,,4760,34003,16230,28640,13928,18187,11330
1992,252727,103221,30029,8487,25628,,17474,,,3613,33515,15773,32398,19325,11005,16403
1993,218866,89820,10726,4939,10091,,8451,5859,,2836,21611,16186,33179,13139,13489,20155
1994,322849,146127,36129,7904,14700,2529,19997,11922,,2170,34799,17688,40662,17292,14181,29933
1995,407141,219882,72329,9814,30001,4910,20860,15625,,2198,42354,21798,47060,19579,8680,24730
1996,506990,260027,65592,20813,45893,9932,13034,9462,,4602,64495,23488,60053,47272,8456,25563
1997,473245,250589,55576,22781,37989,19506,22840,12433,,5054,58517,18328,48461,41762,7645,20049
1998,486732,239998,55851,19329,24181,21213,26234,14014,,4011,67528,22049,62404,44075,6291,14142
1999,529813,264113,57163,16030,35619,27679,27117,10493,,3090,69242,26588,65634,51263,7742,15024
2000,606153,335483,83666,14491,32556,42768,34545,14877,,2892,70482,39146,50845,49241,8924,14595
2001,782774,420043,96599,17317,42336,67766,40609,16654,,2549,90074,69786,50416,81014,9216,19067
2002,1014542,593101,123639,32933,44465,99334,56901,22124,,2634,108049,82455,67704,74927,10114,18657
2003,1340162,784181,160698,33400,50845,135068,77323,50020,,4788,142330,87662,85844,90477,37589,29968
2004,1656988,1019375,195514,52350,61878,195867,95102,93889,,4795,211640,109857,90397,45958,44033,35831
2005,2242894,1395024,263960,82273,87193,230867,124858,218962,,5869,246537,130508,127459,94566,74697,43376
2006,2431889,1563534,288860,90801,102642,263853,133503,304630,,7526,246890,140706,130653,77799,78422,52856
2007,2865133,1924633,319736,105652,111763,313208,137790,352543,,7652,249578,130727,157580,112917,81385,62871
2008,3551461,2405340,375554,202251,125860,317824,172351,523546,,7834,314760,126445,194394,160580,73171,96586
2009,4146337,2791831,481780,220288,149578,293599,172482,562433,20067,9536,411872,141403,188387,210263,103705,116858
2010,5008978,3347004,581286,291902,174052,378049,179335,660071,24485,11694,542754,175236,255986,242664,113723,140582
2011,5524344,3681047,660803,188408,193768,445961,275110,670009,35759,10851,576146,155538,302652,224169,109923,188909
2012,5663463,3723277,693147,210863,155210,461852,283014,684511,41028,10839,536215,217407,356270,263628,74128,198684
2013,6217831,3975845,702699,307413,166830,453156,295867,696617,50345,15703,638157,217913,438938,324801,81281,229327
2014,6646965,4382266,705208,319699,178311,512308,284232,805689,50565,12552,595913,214264,503802,338596,83618,231723
2015,6497748,4265641,704563,325771,168774,528388,250800,877652,54710,14011,632272,210161,450605,353890,81333,239035
2016,7059903,4559953,790402,339627,178913,562807,280270,920804,64962,14824,717215,256400,483062,391801,98897,257481
2017,7312103,4785845,900119,291563,175849,524042,327187,876345,115439,18451,619746,308679,485879,413390,103539,249388
2018,7206834,4683450,927381,232670,182077,540624,350182,743293,140781,17029,482362,309827,564791,439798,109708,249687
2019,7566398,5038978,2960336,257836,190785,745602,358252,698696,185723,15112,547179,249858,576733,440796,83866,255624
2020,7710369,5563106,3087544,260373,206702,719172,356962,743585,173978,14791,564986,264583,581535,435861,74883,225414
