机构名称,经度,纬度,县市区,地址,建筑面积,床位数量,运营性质
高疃幸福院,121.1116488940291,37.48461647933468,福山区,高疃镇西村,400.0,20,公（村）办
高疃义井幸福院,121.15570979115746,37.47283181189814,福山区,高疃镇义井村,400.0,20,公（村）办
高疃赵家庄幸福院,121.15775262771773,37.47916041955783,福山区,高疃镇赵家庄村,400.0,20,公（村）办
张格庄台上幸福院,121.15601189130048,37.42495443889374,福山区,张格庄镇台上村,400.0,20,公（村）办
回里西道平幸福院,120.0189922920509,37.29810130776986,福山区,回里镇西道平村,400.0,20,公（村）办
门楼两甲幸福院,121.249914461175,37.42285025114688,福山区,门楼镇两甲村,400.0,20,公（村）办
门楼肖家幸福院,120.44673150978468,37.699833000302725,福山区,门楼镇肖家村,400.0,20,公（村）办
张格庄镇车家村幸福院,121.21022319153884,37.36735130609845,福山区,张格庄镇车家村,400.0,20,公（村）办
门楼镇贾家疃社区农村幸福院,121.30170375009736,37.46188855296568,福山区,门楼镇贾家疃社区,410.0,20,公（村）办
门楼镇楼底社区农村幸福院,121.29675588334838,37.45577861766352,福山区,门楼镇楼底社区,406.0,20,公（村）办
回里镇西回里村幸福院,121.3250482848768,37.34353957704949,福山区,回里镇西回里村,480.0,20,公（村）办
回里镇胡家夼村幸福院,121.30293604559594,37.34364235753258,福山区,回里镇胡家夼村,420.0,20,公（村）办
高疃镇东罗格庄村幸福院,121.10566456238271,37.504434805490405,福山区,高疃镇东罗格庄村,406.0,20,公（村）办
高疃镇西罗格庄村幸福院,121.1026453575637,37.50685951562415,福山区,高疃镇西罗格庄村,410.0,20,公（村）办
张格庄镇楼子口村幸福院,121.23019647556988,37.38310072073777,福山区,张格庄镇楼子口村,500.0,20,公（村）办
回里镇巨甲幸福院,121.32396879114546,37.32372216943121,福山区,回里镇巨甲村,400.0,20,公（村）办
回里解村社区农村幸福院,121.33642685128004,37.38343491972676,福山区,回里镇解村社区,400.0,20,公（村）办
