序号,机构地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,日照经济技术开发区郑州路中段区间路,119.53341540456555,35.42283899843767,0,20,城市,bd09,,删除
2,日照市临沂路1号,119.51242065733909,35.42731377856221,1,80,门址,bd09,,删除
3,日照市山海天路8号,119.58899455460393,35.465657990000516,1,80,门址,bd09,,删除
4,日照市天津路145号,119.54297840570256,35.39610752584845,1,80,门址,bd09,,删除
5,日照市山东路529号,119.50412417714058,35.439536580107564,1,80,门址,bd09,,删除
6,日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,1,80,门址,bd09,,删除
7,日照市黄海一路58号,119.54481499131771,35.39959088693246,1,80,门址,bd09,,删除
8,日照市东港区山东路1000号华润置地广场,119.48339784360051,35.438990335647276,0,80,门址,bd09,,删除
9,日照市山海路369号,119.53091317456749,35.47625849070565,1,80,门址,bd09,,删除
10,日照市海滨五路1号,119.54030747392973,35.40937395299867,1,80,门址,bd09,,删除
11,日照市望海路35号-1,119.46403199375531,35.43324888166215,1,80,门址,bd09,,删除
12,山东外国语职业学院大学生活动中心,119.53926804462415,35.47504892391834,1,70,教育,bd09,,删除
13,山海天旅游度假区山海天路367号,119.571697143026,35.45345822872937,1,80,门址,bd09,,删除
14,日照市威海路69号,119.54474555230179,35.426934511060544,1,80,门址,bd09,,删除
15,黄海一路102号,119.55878966064478,35.399874368586225,1,80,门址,bd09,,删除
16,日照市海滨五路88号,119.54013365181355,35.38968134280194,1,80,门址,bd09,,删除
17,两城街道两城九村,119.5871489859337,35.579689914402884,0,50,村庄,bd09,,删除
18,两城街道沟崖村,119.60287211710538,35.58878524534766,0,50,村庄,bd09,,删除
19,山海天旅游度假区卧龙山街道苏家村,119.58702798418149,35.453277919072505,0,50,旅游景点,bd09,,删除
20,山海天旅游度假区太公三路朝阳二区沿街商铺,119.58008004021457,35.45964305149119,1,70,地产小区,bd09,,删除
21,北京路中段东侧,119.53341540456555,35.42283899843767,0,20,城市,bd09,,删除
22,山海天旅游度假区太公岛二路太公康庭北沿街,119.21123862747997,35.759699869771545,0,30,道路,bd09,,删除
23,日照市昭阳北路59号,119.49250603265783,35.46983192401522,1,80,门址,bd09,,删除
24,山海天旅游度假区山海天路南段书馨院小区沿街处,119.58702798418149,35.453277919072505,0,50,旅游景点,bd09,,删除
25,日照市日照北路16号,119.51305566950408,35.51962938002143,0,30,道路,bd09,,删除
26,山海天旅游度假区太公二路舜园小区沿街,119.57987217231955,35.45401201866091,1,70,地产小区,bd09,,删除
27,日照市山海天文德一区南门西侧门面房,119.48864547489815,35.42258001161862,0,70,地产小区,bd09,,删除
28,山海天旅游度假区碧海路与桃花岛三路交汇处北450米,119.58702798418149,35.453277919072505,0,50,旅游景点,bd09,,删除
29,山海天旅游度假区卧龙山街道刘东楼村,119.58702798418149,35.453277919072505,0,50,旅游景点,bd09,,删除
30,山海天旅游度假区两城街道梁乡一路文馨苑小区沿街7号,119.57796677650235,35.575096647740715,1,70,地产小区,bd09,,删除
31,日照市东港区海曲中路南艳阳路东001幢,119.47672370315303,35.43029520836362,0,30,道路,bd09,,删除
32,海曲东路10号,119.49381701971909,35.424693722475105,1,80,门址,bd09,,删除
33,日照市东港区海滨五路69号,119.5395836193498,35.3985169722205,1,80,门址,bd09,,删除
34,日照市青岛路北段卧龙村北,118.87108127747615,35.62008652388417,0,30,道路,bd09,,删除
35,山海天路教授花园二期沿街,119.58665779248082,35.465187330208394,1,70,地产小区,bd09,,删除
36,海滨六路南,119.53072408125763,35.40308843882663,0,30,道路,bd09,,删除
37,东港区三庄镇政府驻地,119.18427890709089,35.50949535647534,1,70,政府机构,bd09,,删除
38,东港区南湖镇驻地,119.35625581392358,35.48740166101337,0,25,乡镇,bd09,,删除
39,东港区两城镇驻地,119.46862431118342,35.43104900394244,0,20,区县,bd09,,删除
40,日照市东港区涛雒镇涛坪路9号,119.37380196629722,35.283938941044006,1,80,门址,bd09,,删除
41,东港区后村镇驻地,119.30123091838483,35.39150145318139,0,25,乡镇,bd09,,删除
42,东港区陈疃镇驻地,119.27383493592482,35.51464975061145,0,25,乡镇,bd09,,删除
43,日照市东港区河山镇驻地,119.5170404629158,35.53091753524567,0,25,乡镇,bd09,,删除
44,东港区西湖镇驻地,119.24757719637653,35.456390610735355,0,25,乡镇,bd09,,删除
45,日照市岚山区黄墩镇驻地,119.13856881087676,35.40629877586487,0,25,乡镇,bd09,,删除
46,日照市岚山区巨峰镇驻地,119.26878196743121,35.29195704989523,0,25,乡镇,bd09,,删除
47,日照市岚山区碑廓镇碑廓中路10号,119.18650419702276,35.17614361195714,0,80,门址,bd09,,删除
48,日照市岚山区高兴镇驻地,119.34943201577813,35.338177903069706,0,25,乡镇,bd09,,删除
49,日照市岚山区中楼镇中兴路83号,118.9891949774556,35.40548951066121,1,80,门址,bd09,,删除
50,日照市岚山区虎山镇驻地,119.33915800582996,35.176471775585846,0,25,乡镇,bd09,,删除
51,五莲县叩官镇驻地,119.46108025168007,35.683451711918295,0,25,乡镇,bd09,,删除
52,五莲县于里镇驻地,118.99969778581716,35.80907804611131,0,25,乡镇,bd09,,删除
