手术名称,疾病代码,二级医疗机构价格,疾病名称,三级医疗机构价格,计价单位
非静脉溶栓术,I63.900,12600,脑梗死,14000,元
静脉溶栓术,I63.900,23000,脑梗死,25600,元
显微镜下三叉神经根血管减压术,G50.000,32400,三叉神经痛,36000,元
单侧甲状腺全切术,E04.902,13770,结节性甲状腺肿,15000,元
单侧甲状腺次全切除术,D34.x00,12510,甲状腺良性肿瘤,13900,元
甲状腺癌根治术,D44.001,14980,甲状腺癌,16650,元
白内障超声乳化摘除术,H25.900,5050,老年性白内障,5600,元
上睑提肌缩短上睑下垂矫正术,H02.400,3100,上睑下垂,3450,元
颞筋膜悬吊上睑下垂矫正术,H02.400,2900,上睑下垂,3200,元
巩膜外加压术,H33.001,6640,单纯性孔源性视网膜脱离,7380,元
翼状胬肉切除组织移植术,H11.000,2430,翼状胬肉,2700,元
喉次全切除术,C32.900,34020,喉癌,37800,元
口内入路下颌骨骨折切开复位内固定术,S02.600,30780,下颌骨骨折,34200,元
,J15.700　,6620,支原体肺炎(成人),7350,元
,J15.700,4700,支原体肺炎(儿童),5200,元
射频消融术,I20.000,26730,不稳定性心绞痛,29700,元
,C91.100,20250,慢性淋巴细胞白血病-初治CLL 成人患者,22500,元
,C92.100,21060,慢性髓细胞白血病（CML）— 初治CML 成人患者,24000,元
,D69.300,10800,特发性血小板减少性紫癜-初治ITP 成人患者,12000,元
,C92.400,28210,成人急性早幼粒细胞白血病-初治（APL） 患者,31350,元
,K85.900,17010,轻症急性胰腺炎,18900,元
,K27.300         K27.901,8910,胃十二指肠溃疡,9900,元
,K21.001,5990,反流食管炎,6660,元
胃部分切除术,C16.000,46980,胃癌,52200,元
,C16.001,,,,
,C16.002,,,,
,C16.100,,,,
,C16.200,,,,
,C16.300,,,,
,C16.301,,,,
,C16.400,,,,
,C16.401,,,,
,C16.402,,,,
,C16.500,,,,
,C16.600,,,,
,C16.800,,,,
,C16.801,,,,
,C16.802,,,,
,C16.803,,,,
,C16.804,,,,
,C16.900,,,,
,C16.902,,,,
,C16.903,,,,
腹腔镜胃癌根治性近端切除术,,49410,胃癌,54900,元
腹腔镜胃癌根治性远端切除术,C16.000,48600,胃癌,54000,元
根治性近端胃大部切除术,C16.000,47790,胃癌,53100,元
根治性远端胃大部切除术,C16.000,46170,胃癌,51300,元
阑尾切除术,K35.900,7090,急性单纯性阑尾炎,7880,元
经腹腔镜阑尾切除术,K35.900,8550,急性单纯性阑尾炎,9500,元
单侧腹股沟疝修补术,K40.000         K40.400         K40.900         K40.906,6480,腹股沟疝,7200,元
单侧大隐静脉高位结扎＋ 剥脱术,I83.900,10260,下肢静脉曲张,11400,元
单侧大隐静脉腔内激光闭合术,I83.900,10510,下肢静脉曲张,11680,元
单侧甲状腺次全切除术,E05.805,13360,原发性甲状腺功能亢进,14850,元
开腹经胆道镜取石术,K80.500,40180,胆管结石（ 无胆管炎或胆囊炎） ,44650,元
先天性胆总管囊肿切除胆道成形术,Q44.504,40180,先天性胆管扩张症（ 胆总管囊肿） ,44650,元
单侧无张力腹股沟疝修补术,K40.000         K40.400         K40.900         K40.906,6150,腹股沟疝,6840,元
经腹腔镜胆囊切除术,K80.101,16030,慢性胆囊炎或合并胆囊结石,17820,元
肛裂切除术,K60.200,4860,肛裂,5400,元
食管癌切除胃代食管胸内吻合术,C15.000,57280,食管癌,63650,元
,C15.100,,,,
,C15.200,,,,
,C15.300,,,,
,C15.400,,,,
,C15.500,,,,
,C15.800,,,,
,C15.801,,,,
,C15.802,,,,
,C15.900,,,,
经胸腔镜食管下段贲门肌层切开术,K22.000,22680,贲门失弛缓症,25200,元
阑尾切除术,K35.901,8890,急性化脓性阑尾炎,9880,元
单侧根治性肾切除术,C64.x00,27360,肾癌,30400,元
,C65.x00,,,,元
,C65.x01,,,,元
,C65.x02,,,,元
经腹腔镜单侧根治性肾切除术,C64.x00,32400,肾癌,36000,元
,C65.x00,,,,
,C65.x01,,,,
,C65.x02,,,,
膀胱部分切除术,D30.300         D41.401,22650,膀胱肿瘤,25170,元
经尿道膀胱肿瘤电切治疗,D30.300         D41.401,18630,膀胱肿瘤,20700,元
睾丸鞘膜翻转术,N43.301,7450,睾丸鞘膜积液,8280,元
隐睾下降固定术,Q53.902,7690,隐睾（ 睾丸可触及） ,8550,元
保留神经前列腺癌根治术,C61.x00,31290,前列腺癌,34770,元
经腹子宫腺肌病灶切除术,N80.001,11250,子宫腺肌病,12500,元
经腹腔镜子宫腺肌病灶切除术,N80.001,13050,子宫腺肌病,14500,元
经腹腔镜单侧卵巢囊肿剥除术,D27.x00,12150,卵巢良性肿瘤,13500,元
经腹全子宫切除术,D25.900,12820,子宫平滑肌瘤,14250,元
经腹腔镜全子宫切除术,D25.900,16240,子宫平滑肌瘤,18050,元
经阴道全子宫切除术,D25.900,12960,子宫平滑肌瘤,14400,元
经宫腔镜黏膜下肌瘤切除术,D25.900,10260,子宫平滑肌瘤,11400,元
经腹腔镜全子宫切除术,C53.000         C53.100          C53.800          C53.801          C53.900,21870,宫颈癌,24300,元
经腹腔镜广泛子宫切除术+盆腹腔淋巴结清扫,C53.000         C53.100          C53.800          C53.801          C53.900,26320,宫颈癌,29250,元
腰椎间盘摘除术,M51.003          M51.004          M51.101          M51.202          M51.204,17010,腰椎间盘突出症,18900,元
经椎间盘镜髓核摘除术(MED) ,M51.003          M51.004          M51.101          M51.202          M51.204,12150,腰椎间盘突出症,13500,元
全髋人工关节置换术,S72.000,21060,股骨颈骨折,23400,元
人工股骨头置换术,S72.000,21060,股骨颈骨折,23400,元
踝关节骨折切开复位内固定术,S82.500          S82.501         S82.600         S82.601          S82.801,14580,踝关节骨折,16200,元
,S82.802,,,,
,S82.803,,,,
股骨干骨折切开复位内固定术,S72.300 ,20250,股骨干骨折,22500,元
髌骨骨折切开复位内固定术,S82.000,12960,闭合性髌骨骨折,14400,元
尺骨鹰嘴骨折切开复位内固定术,S52.001,11340,闭合性尺骨鹰嘴骨折,12600,元
肱骨干骨折切开复位钢板螺丝钉内固定术,S42.300,14580,闭合性肱骨干骨折,16200,元
胫骨骨折切开复位内固定术,S82.201         S82.203,14580,胫骨干骨折,16200,元
