机构地址,经度,纬度,机构名称,联系电话
东港区三庄镇政府驻地,119.18427890709089,35.50949535647534,日照市东港区三庄中心卫生院,6332957057
东港区三庄镇政府驻地,119.18427890709089,35.50949535647534,日照市东港区三庄中心卫生院,6332957057
东港区南湖镇驻地,119.35625581392358,35.48740166101337,东港区南湖中心卫生院,8581200
东港区南湖镇驻地,119.35625581392358,35.48740166101337,东港区南湖中心卫生院,8581200
东港区两城镇驻地,119.46862431118342,35.43104900394244,日照市东港区两城中心卫生院,8511120
东港区两城镇驻地,119.46862431118342,35.43104900394244,日照市东港区两城中心卫生院,8511120
日照市东港区涛雒镇涛坪路9号,119.37380196629722,35.283938941044006,日照市东港区涛雒镇卫生院,8651293
日照市东港区涛雒镇涛坪路9号,119.37380196629722,35.283938941044006,日照市东港区涛雒镇卫生院,8651293
东港区后村镇驻地,119.30123091838485,35.39150145318139,日照市岚山区后村中心卫生院,0633-8831091
东港区后村镇驻地,119.30123091838485,35.39150145318139,日照市东港区后村中心卫生院,0633-8831091
东港区陈疃镇驻地,119.27383493592482,35.51464975061145,东港区陈疃镇卫生院,8551050
东港区陈疃镇驻地,119.27383493592482,35.51464975061145,东港区陈疃镇卫生院,8551050
日照市东港区河山镇驻地,119.5170404629158,35.53091753524567,日照市东港区河山镇卫生院,0633-8536120
日照市东港区河山镇驻地,119.5170404629158,35.53091753524567,日照市东港区河山镇卫生院,0633-8536120
东港区西湖镇驻地,119.24757719637653,35.456390610735355,日照市东港区西湖镇卫生院,8851073
东港区西湖镇驻地,119.24757719637653,35.456390610735355,日照市东港区西湖镇卫生院,8851073
日照市岚山区黄墩镇驻地,119.13856881087676,35.40629877586487,日照市岚山区黄墩中心卫生院,0633-3881120
日照市岚山区黄墩镇驻地,119.13856881087676,35.40629877586487,日照市岚山区黄墩中心卫生院,0633-3881120
日照市岚山区巨峰镇驻地,119.2687819674312,35.29195704989523,日照市岚山区巨峰中心卫生院,0633-8631067
日照市岚山区巨峰镇驻地,119.2687819674312,35.29195704989523,日照市岚山区巨峰中心卫生院,0633-8631067
日照市岚山区碑廓镇碑廓中路10号,119.18650419702276,35.17614361195714,日照市岚山区碑廓中心卫生院,0633-2691033
日照市岚山区碑廓镇碑廓中路10号,119.18650419702276,35.17614361195714,日照市岚山区碑廓中心卫生院,0633-2691033
日照市岚山区高兴镇驻地,119.34943201577812,35.338177903069706,日照市岚山区高兴卫生院,0633-7986808
日照市岚山区高兴镇驻地,119.34943201577812,35.338177903069706,日照市岚山区高兴卫生院,0633-7986808
日照市岚山区中楼镇中兴路83号,118.9891949774556,35.40548951066121,日照市岚山区中楼卫生院,0633-6431027
日照市岚山区中楼镇中兴路83号,118.9891949774556,35.40548951066121,日照市岚山区中楼卫生院,0633-6431027
日照市岚山区虎山镇驻地,119.33915800582996,35.176471775585846,日照市岚山区虎山卫生院,0633-2661082
日照市岚山区虎山镇驻地,119.33915800582996,35.176471775585846,日照市岚山区虎山卫生院,0633-2661082
五莲县叩官镇驻地,119.46108025168007,35.683451711918295,五莲县叩官镇中心卫生院,0633-5521005
五莲县叩官镇驻地,119.46108025168007,35.683451711918295,五莲县叩官镇中心卫生院,0633-5521005
五莲县于里镇驻地,118.99969778581716,35.80907804611131,五莲县于里镇中心卫生院,0633-5411005
五莲县于里镇驻地,118.99969778581716,35.80907804611131,五莲县于里镇中心卫生院,0633-5411005
五莲县街头镇驻地,119.27499267206608,35.61298017736559,五莲县街头镇中心卫生院,0633-5561005
五莲县街头镇驻地,119.27499267206608,35.61298017736559,五莲县街头镇中心卫生院,0633-5561005
五莲县许孟镇驻地,119.33193131766328,35.8663869920158,五莲县许孟镇中心卫生院,0633-5471005
五莲县许孟镇驻地,119.33193131766328,35.8663869920158,五莲县许孟镇中心卫生院,0633-5471005
五莲县洪凝镇前旋子村,119.24968812449444,35.74972272780542,五莲县洪凝镇山阳卫生院,0633-5572005
五莲县洪凝镇前旋子村,119.24968812449444,35.74972272780542,五莲县洪凝镇山阳卫生院,0633-5572005
五莲县高泽镇驻地,119.21558036258608,35.75569710410426,五莲县高泽镇卫生院,0633-5451005
五莲县高泽镇驻地,119.21558036258608,35.75569710410426,五莲县高泽镇卫生院,0633-5451005
五莲县松柏镇驻地,119.32262711834368,35.74598240685176,五莲县松柏乡卫生院,0633-5511005
五莲县松柏镇驻地,119.32262711834368,35.74598240685176,五莲县松柏乡卫生院,0633-5511005
五莲县汪湖镇驻地,119.10567672581509,35.91554883178128,五莲县汪湖镇卫生院,5441005
五莲县汪湖镇驻地,119.10567672581509,35.91554883178128,五莲县汪湖镇卫生院,5441005
五莲县中至镇驻地,119.12924772341358,35.78829171593294,五莲县中至镇卫生院,0633-5421005
五莲县中至镇驻地,119.12924772341358,35.78829171593294,五莲县中至镇卫生院,0633-5421005
五莲县户部乡驻地,119.42465908359188,35.736701142658205,五莲县户部乡卫生院,0633-5401005
