机构地址,经度,纬度,机构等次,经营性质,机构级别,联系电话,机构名称,序号
日照经济技术开发区郑州路中段区间路,119.53341540456556,35.42283899843767,合格,非营利性（非政府办）,二级,2282730,日照白求恩医院,1
日照市临沂路1号,119.51242065733908,35.42731377856221,合格,非营利性（非政府办）,三级,15305389077,日照心脏病医院,2
日照市山海天路8号,119.58899455460391,35.46565799000052,合格,非营利性（非政府办）,一级,0633-2207187,兖矿集团有限公司疗养院,3
日照市天津路145号,119.54297840570256,35.39610752584845,合格,非营利性（非政府办）,一级,0633-8331217,济南铁路局日照疗养院,4
日照市山东路529号,119.50412417714058,35.439536580107564,合格,非营利性（非政府办）,二级,0633-8295123,日照华方中医医院,5
日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,暂定,非营利性（非政府办）,未定级,7981301,山海天旅游度假区卧龙山社区卫生服务中心,6
日照市黄海一路58号,119.54481499131772,35.39959088693246,合格,非营利性（非政府办）,二级,0633-8382632、8386636,日照港口医院,7
日照市东港区山东路1000号华润置地广场,119.48339784360051,35.43899033564728,暂定,非营利性（非政府办）,未定级,18606331117,日照医疗美容医院,8
日照市山海路369号,119.53091317456747,35.47625849070565,暂定,非营利性（非政府办）,未定级,0633-8672020,日照航海工程职业学院医务室,9
日照市海滨五路1号,119.54030747392972,35.40937395299867,合格,非营利性（非政府办）,一级,0633-3966607,山东医学高等专科学校附属医院日照分院,10
日照市望海路35号-1,119.46403199375531,35.43324888166215,合格,非营利性（非政府办）,二级,0633-2222226,日照口腔医院,11
山东外国语职业学院大学生活动中心,119.53926804462417,35.47504892391834,暂定,非营利性（非政府办）,未定级,0633-8109001办公室，81090502公寓管理科,山东外国语职业学院医务室,12
山海天旅游度假区山海天路367号,119.571697143026,35.45345822872937,暂定,非营利性（非政府办）,未定级,7981350,山海天旅游度假区青岛路社区卫生服务站,13
日照市威海路69号,119.5447455523018,35.426934511060544,合格,非营利性（非政府办）,二级,13806330120,日照仁爱风湿病医院,14
黄海一路102号,119.55878966064478,35.399874368586225,合格,非营利性（非政府办）,一级,0633-8390091,日照出入境检验检疫局日照国际旅行卫生保健中心门诊部,15
日照市海滨五路88号,119.54013365181356,35.38968134280194,暂定,非营利性（非政府办）,未定级,15065586551,日照幸福护理院,16
两城街道两城九村,119.5871489859337,35.579689914402884,暂定,非营利性（非政府办）,未定级,13105105179,山海天旅游度假区两城九村卫生室,17
两城街道沟崖村,119.60287211710538,35.58878524534766,暂定,非营利性（非政府办）,未定级,15963828024,山海天旅游度假区沟崖村卫生室,18
山海天旅游度假区卧龙山街道苏家村,119.58702798418147,35.453277919072505,暂定,非营利性（非政府办）,未定级,15163319008,山海天卧龙山街道苏家村勋京卫生室,19
山海天旅游度假区太公三路朝阳二区沿街商铺,119.58008004021455,35.45964305149119,暂定,营利性,未定级,13326332345,山海天海天诊所,20
北京路中段东侧,119.53341540456556,35.42283899843767,暂定,营利性,未定级,0633-8338685,日照同和骨科医院,21
山海天旅游度假区太公岛二路太公康庭北沿街,119.21123862747996,35.759699869771545,暂定,营利性,未定级,15563306775,山海天海林口腔诊所,22
日照市昭阳北路59号,119.49250603265784,35.46983192401522,合格,营利性,一级,0633-8260120,日照述萍骨科医院,23
山海天旅游度假区山海天路南段书馨院小区沿街处,119.58702798418147,35.453277919072505,暂定,营利性,未定级,13963337595,海天口腔诊所,24
日照市日照北路16号,119.51305566950408,35.51962938002143,合格,营利性,一级,0633-2999162,日照中德骨科医院,25
山海天旅游度假区太公二路舜园小区沿街,119.57987217231955,35.45401201866091,暂定,营利性,未定级,13963317521,山海天玉霞诊所,26
日照市山海天文德一区南门西侧门面房,119.48864547489816,35.42258001161862,暂定,营利性,未定级,,山海天冯辉中医诊所,27
山海天旅游度假区碧海路与桃花岛三路交汇处北450米,119.58702798418147,35.453277919072505,暂定,营利性,未定级,,山海天俊业中医诊所,28
山海天旅游度假区卧龙山街道刘东楼村,119.58702798418147,35.453277919072505,暂定,营利性,未定级,18963339966,山海天卧龙山街道刘东楼村贤久卫生室,29
山海天旅游度假区两城街道梁乡一路文馨苑小区沿街7号,119.57796677650236,35.575096647740715,暂定,营利性,未定级,13561957623,山海天洪清口腔诊所,30
日照市东港区海曲中路南艳阳路东001幢,119.47672370315304,35.43029520836362,合格,营利性,二级,0633-8804888,日照爱尔眼科医院,31
海曲东路10号,119.49381701971907,35.424693722475105,合格,营利性,一级,0633-2200202,日照新友谊医院,32
日照市东港区海滨五路69号,119.5395836193498,35.3985169722205,合格,营利性,一级,0633-8351171,日照现代男科医院,33
日照市青岛路北段卧龙村北,118.87108127747616,35.62008652388417,暂定,营利性,未定级,0633-8313916,日照市山海天同济风湿病医院,34
山海天路教授花园二期沿街,119.58665779248082,35.465187330208394,暂定,营利性,未定级,15206336999,山海天浩平中医诊所,35
海滨六路南,119.53072408125765,35.40308843882663,合格,营利性,一级,0633-8351120,日照市中兴肾脏病专科医院,36
