序号,机构地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
1,东港区秦楼街道驻地,119.53011422164693,35.46771125125786,0,25,乡镇,bd09,,删除
2,日照市岚山区岚山头街道圣岚东路799号,119.36095700597949,35.10482194973707,1,80,门址,bd09,,删除
3,日照市岚山区安东卫街道西街居委,119.35792127233908,35.103750658098214,0,50,NoClass,bd09,,删除
4,莒县墩头社区驻地,118.89194056023167,35.661628025371215,0,50,村庄,bd09,,删除
5,日照经济开发区奎山街道驻地,119.43233824824392,35.3790710296381,0,25,乡镇,bd09,,删除
6,五莲县城解放路17号,119.21264398153507,35.7557717214482,0,80,门址,bd09,,删除
7,日照市海安路69号,119.40061170036772,35.42929256650791,0,80,门址,bd09,,删除
8,日照市海滨三路南段,119.5480047843531,35.39875264624687,0,30,道路,bd09,,删除
9,日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,1,80,门址,bd09,,删除
10,日照经济开发区郑州路,119.52475484114383,35.39562887916208,0,30,道路,bd09,,删除
11,东港区秦楼街道驻地,119.53011422164693,35.46771125125786,0,25,乡镇,bd09,,删除
12,日照市岚山区岚山头街道圣岚东路799号,119.36095700597949,35.10482194973707,1,80,门址,bd09,,删除
13,日照市岚山区安东卫街道西街居委,119.35792127233908,35.103750658098214,0,50,NoClass,bd09,,删除
14,莒县墩头社区驻地,118.89194056023167,35.661628025371215,0,50,村庄,bd09,,删除
15,日照经济开发区奎山街道驻地,119.43233824824392,35.3790710296381,0,25,乡镇,bd09,,删除
16,五莲县城解放路17号,119.21264398153507,35.7557717214482,0,80,门址,bd09,,删除
17,日照市海安路69号,119.40061170036772,35.42929256650791,0,80,门址,bd09,,删除
18,日照市海滨三路南段,119.5480047843531,35.39875264624687,0,30,道路,bd09,,删除
19,日照市山海天旅游度假区山海天路68号,119.58784840660375,35.46541097480029,1,80,门址,bd09,,删除
20,日照经济开发区郑州路,119.52475484114383,35.39562887916208,0,30,道路,bd09,,删除
21,莒县经济开发区烟台中路1号,118.85106999512202,35.62623287211936,1,80,门址,bd09,,删除
