行政区划,经度,纬度,治疗人次,总费用,住院部分,门诊部分,购药部分,基本医保,大病保险,医疗救助,商业补充保险,政府兜底,慈善基金,临时救助,扶贫基金,医院减免,其他,自付,人均自付
莒县,118.84353824240416,35.585872122989336,4928,16242951.72,15937344.73,86065.77,219541.22,9726397.79,1228632.18,2134551.9,27958.97,502838.84,0,10099.4,1115579.93,302692.98,0,1021556.15,207.3
安庄镇,118.81507642045658,35.812024295965045,129,509053.22,499987.64,9065.58,0.0,315171.31,29683.54,76816.24,0.0,23747.79,0,0.0,18440.98,11809.34,0,33384.02,258.79
长岭镇,118.84412519522436,35.48467689020182,36,313163.16,311118.8,2024.56,19.8,197882.45,44832.89,36998.55,0.0,22233.51,0,0.0,7691.3,3524.46,0,0.0,0.0
城阳街道,118.87431517731208,35.60263670674829,154,790141.47,731909.79,6142.48,52089.2,516035.6,69822.85,84912.45,2522.06,36647.8,0,0.0,17576.29,9563.12,0,53061.3,344.55
店子集街道,118.90677670454282,35.584404147065115,160,501183.59,501183.59,0.0,0.0,341710.08,15941.47,75919.74,0.0,12262.54,0,0.0,19204.27,11567.12,0,26475.5,165.47
东莞镇,118.97214585752064,35.99182610165766,19,197185.1,197185.1,0.0,0.0,110741.19,22437.18,21846.44,0.0,2442.13,0,0.0,3495.04,3169.22,0,33053.9,1739.68
浮来山街道,118.78007978524607,35.59681379355452,393,503295.11,500234.48,246.3,2814.33,327137.26,26646.32,72702.12,2394.04,15927.16,0,0.0,16111.82,11359.45,0,31016.94,78.92
果庄镇,118.76921244450855,35.77904002765127,673,1221701.17,1214460.37,1044.8,6196.0,858891.05,88854.18,128943.94,6222.16,23871.75,0,572.35,19696.84,18902.55,0,78534.97,116.69
峤山镇,118.9460048976886,35.65733871302084,381,2345403.69,2331725.69,6818.0,6860.0,977533.06,178008.78,266513.05,0.0,15552.99,0,0.0,712279.08,37447.71,0,158069.02,414.88
经济开发区,119.53341540456556,35.42283899843767,4,13384.64,13384.64,0.0,0.0,8342.84,0.0,2843.47,0.0,1145.54,0,0.0,713.01,339.78,0,0.0,0.0
库山乡,118.9799089239073,35.923040074853105,210,794092.4,771724.08,385.52,21982.8,484436.42,53773.49,121382.35,925.88,66231.19,0,0.0,29434.71,18214.96,0,19693.4,93.78
陵阳街道,118.8900065084687,35.54577504797105,97,417408.41,417408.41,0.0,0.0,286885.04,29878.34,54804.46,0.0,10007.19,0,0.0,11463.69,7094.55,0,17065.46,175.93
刘官庄镇,118.80112322063115,35.52220151683903,378,1198982.74,1182691.34,2571.4,13720.0,764899.39,72749.63,186353.95,0.0,55262.21,0,0.0,46208.26,27181.45,0,46422.74,122.81
龙山镇,119.00374671824228,35.51595522675169,162,499536.48,498558.05,978.43,0.0,346064.0,24915.73,58795.33,0.0,39204.12,0,0.0,13580.71,8230.83,0,8295.73,51.21
洛河镇,118.83380330559253,35.7535760820712,494,977538.74,950342.46,7089.92,20106.36,534581.17,64204.49,94732.04,12917.3,37397.24,0,0.0,7694.68,13952.02,0,35295.33,71.45
碁山镇,118.89537801609616,35.87753653423997,337,1684658.6,1668035.22,2905.38,13718.0,1064138.9,114384.14,268887.15,0.0,52403.44,0,0.0,64330.81,41632.13,0,78882.03,234.07
桑园镇,119.04601217214784,35.678552649144294,343,934863.57,880996.56,0.0,53867.01,596616.36,77347.73,136514.86,0.0,13117.66,0,0.0,29170.56,19447.56,0,62648.84,182.65
夏庄镇,118.7006742493527,35.41952512442019,488,1038508.5,1002274.46,10050.52,26183.52,581980.04,139931.62,117752.1,1799.09,30227.76,0,9527.05,30906.85,13688.59,0,112695.36,230.93
小店镇,118.8100698943578,35.42248412304321,202,995761.49,984758.61,11002.88,0.0,607602.77,77890.65,142768.96,0.0,6362.84,0,0.0,31949.31,21449.5,0,107737.46,533.35
阎庄镇,119.53341540456556,35.42283899843767,8,29536.98,29536.98,0.0,0.0,15974.18,0.0,6234.59,0.0,4064.32,0,0.0,1899.34,194.03,0,1170.52,146.31
寨里河镇,118.93158395018418,35.46998243260702,138,302931.4,275207.2,25740.0,1984.2,190949.51,27276.13,42694.97,1178.44,8974.74,0,0.0,7557.25,6141.56,0,18158.8,131.59
招贤镇,118.92921916092916,35.723248275042415,122,974621.26,974621.26,0.0,0.0,598825.17,70053.02,136135.14,0.0,25754.92,0,0.0,26175.13,17783.05,0,99894.83,818.81
