JD,WD,value
116.2979565,35.41008808,2
119.268782,35.29195705,2
106.7371863,30.28648256,2
119.1934703,35.17300822,3
119.3599022,35.10417597,1
105.9712604,35.34351848,3
119.4686243,35.431049,3
119.4586262,35.43829808,3
112.1380499,29.10446695,1
119.5170405,35.53091754,1
118.6240406,33.84566739,2
115.6115866,38.62736949,1
118.7800798,35.59681379,3
116.2005516,37.43284291,1
120.3880917,36.30814232,3
118.895378,35.87753653,2
115.6151801,38.90127817,1
108.4963313,30.77400589,1
118.8435382,35.58587212,2
118.8011232,35.52220152,2
118.9460049,35.65733871,2
118.9721459,35.9918261,1
118.7692124,35.77904003,1
119.2155804,35.7556971,9
119.2163458,35.74590734,4
119.3319313,35.86638699,6
119.1292477,35.78829172,1
