JD,WD,value
116.2979565,35.41008808,11
119.5734467,35.57720323,4
116.7670156,30.60366922,2
119.268782,35.29195705,13
118.9893251,35.40548657,3
119.2860155,35.13672208,3
106.7371863,30.28648256,9
119.1934703,35.17300822,3
119.3599022,35.10417597,9
105.9712604,35.34351848,1
119.4686243,35.431049,5
119.4586262,35.43829808,18
119.5540672,35.3961023,30
119.3866344,35.28446157,10
112.1380499,29.10446695,1
119.5301142,35.46771125,32
119.3012309,35.39150145,6
119.5170405,35.53091754,7
118.6240406,33.84566739,8
119.2738349,35.51464975,4
117.2007828,34.24453607,4
106.9507598,27.70800021,7
115.6115866,38.62736949,2
118.7800798,35.59681379,1
116.2005516,37.43284291,6
120.3880917,36.30814232,15
118.895378,35.87753653,2
115.6151801,38.90127817,6
106.3741305,31.87138456,5
118.8150764,35.8120243,5
108.4963313,30.77400589,2
112.9563338,34.92070114,4
118.8435382,35.58587212,16
118.8011232,35.52220152,6
113.8643611,36.13099864,1
118.9067767,35.58440415,2
117.1689372,28.2246819,4
118.931584,35.46998243,4
118.9460049,35.65733871,2
119.2155804,35.7556971,31
119.2163458,35.74590734,37
118.9996978,35.80907805,9
119.2749927,35.61298018,10
119.4610803,35.68345171,2
119.3319313,35.86638699,1
119.1461076,35.65612567,3
119.1056767,35.91554883,1
119.1292477,35.78829172,1
111.9018348,22.4752086,2
