JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,3
119.268782,35.29195705,6
118.9893251,35.40548657,3
119.2860155,35.13672208,7
106.7371863,30.28648256,1
119.339158,35.17647178,6
119.1934703,35.17300822,4
119.3599022,35.10417597,2
105.9712604,35.34351848,8
119.4686243,35.431049,11
119.4586262,35.43829808,14
119.5540672,35.3961023,3
119.3866344,35.28446157,7
112.1380499,29.10446695,10
119.5301142,35.46771125,8
119.3012309,35.39150145,4
119.5170405,35.53091754,2
118.6240406,33.84566739,12
119.2738349,35.51464975,3
117.2007828,34.24453607,3
115.6115866,38.62736949,8
118.7800798,35.59681379,14
116.2005516,37.43284291,2
120.3880917,36.30814232,22
118.895378,35.87753653,11
115.6151801,38.90127817,5
106.3741305,31.87138456,5
118.8150764,35.8120243,3
108.4963313,30.77400589,6
112.9563338,34.92070114,8
118.8435382,35.58587212,32
118.8011232,35.52220152,14
113.8643611,36.13099864,5
118.9067767,35.58440415,1
117.1689372,28.2246819,4
118.931584,35.46998243,1
115.4590891,38.53731644,3
118.9460049,35.65733871,7
118.9721459,35.9918261,1
118.9799089,35.92304007,2
118.7692124,35.77904003,5
119.2155804,35.7556971,9
119.2163458,35.74590734,11
118.9996978,35.80907805,3
119.2749927,35.61298018,3
119.4610803,35.68345171,1
119.3319313,35.86638699,3
119.4246591,35.73670114,1
119.1056767,35.91554883,3
119.1292477,35.78829172,3
111.9018348,22.4752086,1
