JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,12
116.7670156,30.60366922,1
119.268782,35.29195705,4
118.9893251,35.40548657,17
119.2860155,35.13672208,2
106.7371863,30.28648256,1
119.339158,35.17647178,5
119.3599022,35.10417597,8
105.9712604,35.34351848,3
119.4686243,35.431049,9
119.4586262,35.43829808,11
119.5540672,35.3961023,4
119.3866344,35.28446157,6
112.1380499,29.10446695,1
119.5301142,35.46771125,9
119.3012309,35.39150145,5
118.6240406,33.84566739,6
119.2738349,35.51464975,8
117.2007828,34.24453607,4
106.9507598,27.70800021,16
115.6115866,38.62736949,2
116.2005516,37.43284291,7
120.3880917,36.30814232,17
118.895378,35.87753653,4
115.6151801,38.90127817,7
106.3741305,31.87138456,2
118.8150764,35.8120243,1
108.4963313,30.77400589,2
112.9563338,34.92070114,11
118.8435382,35.58587212,25
118.8011232,35.52220152,5
113.8643611,36.13099864,1
118.9067767,35.58440415,4
117.1689372,28.2246819,1
118.931584,35.46998243,6
115.4590891,38.53731644,2
118.9460049,35.65733871,4
118.9721459,35.9918261,2
118.9799089,35.92304007,2
118.7692124,35.77904003,5
119.2155804,35.7556971,4
119.2163458,35.74590734,7
118.9996978,35.80907805,6
119.2749927,35.61298018,1
119.4610803,35.68345171,5
119.3964308,35.50585644,2
119.1461076,35.65612567,2
111.9018348,22.4752086,2
