JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.339158,35.17647178,3
119.1934703,35.17300822,1
119.4686243,35.431049,1
119.5540672,35.3961023,1
112.1380499,29.10446695,1
119.3012309,35.39150145,2
118.6240406,33.84566739,2
117.2007828,34.24453607,1
116.2005516,37.43284291,1
118.895378,35.87753653,2
115.6151801,38.90127817,1
108.4963313,30.77400589,2
118.8435382,35.58587212,6
115.4590891,38.53731644,2
118.9721459,35.9918261,1
119.2155804,35.7556971,2
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.3319313,35.86638699,1
119.1461076,35.65612567,1
