JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,2
119.268782,35.29195705,1
118.9893251,35.40548657,1
106.7371863,30.28648256,2
119.339158,35.17647178,3
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,1
119.3866344,35.28446157,1
112.1380499,29.10446695,2
119.5301142,35.46771125,2
119.3012309,35.39150145,2
119.5170405,35.53091754,2
115.6115866,38.62736949,2
120.3880917,36.30814232,1
115.6151801,38.90127817,1
108.4963313,30.77400589,1
119.2163458,35.74590734,1
119.2749927,35.61298018,1
119.4246591,35.73670114,1
