JD,WD,value
116.7670156,30.60366922,1
118.9893251,35.40548657,1
119.2860155,35.13672208,3
106.7371863,30.28648256,2
119.339158,35.17647178,2
119.1934703,35.17300822,1
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.3866344,35.28446157,2
119.5301142,35.46771125,1
118.6240406,33.84566739,3
117.2007828,34.24453607,3
106.9507598,27.70800021,1
118.7800798,35.59681379,1
116.2005516,37.43284291,1
115.6151801,38.90127817,1
106.3741305,31.87138456,1
108.4963313,30.77400589,1
118.9067767,35.58440415,1
117.1689372,28.2246819,1
