JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
119.268782,35.29195705,1
119.1934703,35.17300822,2
119.3599022,35.10417597,1
119.4586262,35.43829808,2
119.5540672,35.3961023,2
119.3866344,35.28446157,2
112.1380499,29.10446695,1
119.5301142,35.46771125,1
118.6240406,33.84566739,1
115.6115866,38.62736949,5
118.7800798,35.59681379,1
116.2005516,37.43284291,2
120.3880917,36.30814232,2
115.6151801,38.90127817,2
106.3741305,31.87138456,3
112.9563338,34.92070114,2
118.8435382,35.58587212,4
113.8643611,36.13099864,1
117.1689372,28.2246819,1
118.9460049,35.65733871,2
118.9799089,35.92304007,4
119.2155804,35.7556971,1
119.2163458,35.74590734,1
119.4246591,35.73670114,1
119.1461076,35.65612567,1
119.1056767,35.91554883,1
119.1292477,35.78829172,1
