JD,WD,value
119.5734467,35.57720323,1
119.268782,35.29195705,1
118.9893251,35.40548657,1
119.2860155,35.13672208,1
106.7371863,30.28648256,2
105.9712604,35.34351848,1
119.4586262,35.43829808,1
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,5
119.5170405,35.53091754,1
118.6240406,33.84566739,1
115.6115866,38.62736949,1
116.2005516,37.43284291,2
120.3880917,36.30814232,1
118.895378,35.87753653,1
115.6151801,38.90127817,2
108.4963313,30.77400589,4
118.8435382,35.58587212,10
118.8011232,35.52220152,1
113.8643611,36.13099864,3
118.9067767,35.58440415,2
117.1689372,28.2246819,1
118.9460049,35.65733871,2
118.9721459,35.9918261,1
118.7692124,35.77904003,1
119.2155804,35.7556971,1
119.3319313,35.86638699,1
