JD,WD,value
116.2979565,35.41008808,1
119.268782,35.29195705,1
106.7371863,30.28648256,1
119.3599022,35.10417597,1
119.4686243,35.431049,1
119.4586262,35.43829808,5
119.5540672,35.3961023,1
119.3866344,35.28446157,4
112.1380499,29.10446695,1
119.3012309,35.39150145,1
106.9507598,27.70800021,1
118.8435382,35.58587212,1
118.8011232,35.52220152,2
113.8643611,36.13099864,3
118.9067767,35.58440415,1
118.931584,35.46998243,4
119.2155804,35.7556971,3
119.2163458,35.74590734,15
119.2749927,35.61298018,8
119.1461076,35.65612567,1
