JD,WD,value
106.7371863,30.28648256,2
119.339158,35.17647178,1
119.1934703,35.17300822,1
119.3599022,35.10417597,2
105.9712604,35.34351848,1
119.4586262,35.43829808,2
119.3866344,35.28446157,1
118.6240406,33.84566739,1
117.2007828,34.24453607,1
106.9507598,27.70800021,2
118.7800798,35.59681379,1
120.3880917,36.30814232,1
115.6151801,38.90127817,1
106.3741305,31.87138456,1
118.8150764,35.8120243,1
112.9563338,34.92070114,2
118.8011232,35.52220152,2
118.7692124,35.77904003,1
119.2749927,35.61298018,2
119.1292477,35.78829172,1
