JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,2
119.268782,35.29195705,2
118.9893251,35.40548657,4
119.2860155,35.13672208,3
106.7371863,30.28648256,2
119.339158,35.17647178,7
119.1934703,35.17300822,1
105.9712604,35.34351848,4
119.4686243,35.431049,3
119.4586262,35.43829808,4
119.3866344,35.28446157,2
112.1380499,29.10446695,1
119.5301142,35.46771125,2
119.5170405,35.53091754,2
118.6240406,33.84566739,4
119.2738349,35.51464975,1
115.6115866,38.62736949,16
118.7800798,35.59681379,7
116.2005516,37.43284291,3
120.3880917,36.30814232,10
118.895378,35.87753653,3
115.6151801,38.90127817,1
108.4963313,30.77400589,2
112.9563338,34.92070114,8
118.8435382,35.58587212,30
118.8011232,35.52220152,7
113.8643611,36.13099864,7
118.931584,35.46998243,1
118.9460049,35.65733871,3
118.9721459,35.9918261,1
118.9799089,35.92304007,1
118.7692124,35.77904003,4
119.2155804,35.7556971,8
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.3319313,35.86638699,1
