JD,WD,value
119.5734467,35.57720323,2
119.268782,35.29195705,14
118.9893251,35.40548657,8
119.2860155,35.13672208,4
106.7371863,30.28648256,3
119.339158,35.17647178,1
119.1934703,35.17300822,3
119.3599022,35.10417597,4
105.9712604,35.34351848,3
119.4686243,35.431049,12
119.4586262,35.43829808,2
119.5540672,35.3961023,1
119.3866344,35.28446157,5
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,7
119.2738349,35.51464975,2
117.2007828,34.24453607,3
106.9507598,27.70800021,4
115.6115866,38.62736949,6
118.7800798,35.59681379,3
116.2005516,37.43284291,3
120.3880917,36.30814232,8
118.895378,35.87753653,9
115.6151801,38.90127817,15
106.3741305,31.87138456,3
108.4963313,30.77400589,7
112.9563338,34.92070114,3
118.8435382,35.58587212,32
118.8011232,35.52220152,5
113.8643611,36.13099864,4
118.9067767,35.58440415,7
117.1689372,28.2246819,1
118.931584,35.46998243,6
115.4590891,38.53731644,1
118.9460049,35.65733871,12
118.9721459,35.9918261,2
118.9799089,35.92304007,2
119.2155804,35.7556971,10
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.2749927,35.61298018,2
119.3319313,35.86638699,6
119.3964308,35.50585644,3
119.1292477,35.78829172,1
111.9018348,22.4752086,1
