JD,WD,value
116.2979565,35.41008808,49
119.5734467,35.57720323,40
116.7670156,30.60366922,42
119.268782,35.29195705,68
118.9893251,35.40548657,53
119.2860155,35.13672208,37
106.7371863,30.28648256,19
119.339158,35.17647178,51
119.1934703,35.17300822,37
119.3599022,35.10417597,73
105.9712604,35.34351848,48
119.4686243,35.431049,59
119.4586262,35.43829808,113
119.5540672,35.3961023,93
119.3866344,35.28446157,72
112.1380499,29.10446695,36
119.5301142,35.46771125,95
119.3012309,35.39150145,44
119.5170405,35.53091754,23
118.6240406,33.84566739,40
119.2738349,35.51464975,11
117.2007828,34.24453607,51
106.9507598,27.70800021,98
115.6115866,38.62736949,21
118.7800798,35.59681379,29
116.2005516,37.43284291,53
120.3880917,36.30814232,68
118.895378,35.87753653,36
115.6151801,38.90127817,52
106.3741305,31.87138456,31
118.8150764,35.8120243,8
108.4963313,30.77400589,15
112.9563338,34.92070114,52
118.8435382,35.58587212,154
118.8011232,35.52220152,48
113.8643611,36.13099864,44
118.9067767,35.58440415,17
117.1689372,28.2246819,16
118.931584,35.46998243,16
115.4590891,38.53731644,34
118.9460049,35.65733871,44
118.9721459,35.9918261,10
118.9799089,35.92304007,19
118.7692124,35.77904003,17
119.2155804,35.7556971,161
119.2163458,35.74590734,102
118.9996978,35.80907805,63
119.2749927,35.61298018,49
119.4610803,35.68345171,17
119.3319313,35.86638699,52
119.4246591,35.73670114,10
119.3964308,35.50585644,2
119.1461076,35.65612567,5
119.1056767,35.91554883,15
119.1292477,35.78829172,17
111.9018348,22.4752086,10
