JD,WD,value
116.2979565,35.41008808,3
116.7670156,30.60366922,1
119.268782,35.29195705,2
118.9893251,35.40548657,1
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,3
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,6
119.5540672,35.3961023,1
119.3866344,35.28446157,3
119.2738349,35.51464975,1
106.9507598,27.70800021,4
118.7800798,35.59681379,1
120.3880917,36.30814232,1
108.4963313,30.77400589,2
118.8435382,35.58587212,25
118.8011232,35.52220152,1
118.9067767,35.58440415,3
117.1689372,28.2246819,1
118.9460049,35.65733871,5
118.9721459,35.9918261,6
118.9799089,35.92304007,3
119.2155804,35.7556971,2
119.2163458,35.74590734,1
119.2749927,35.61298018,1
