JD,WD,value
116.2979565,35.41008808,10
119.5734467,35.57720323,6
116.7670156,30.60366922,7
119.268782,35.29195705,11
118.9893251,35.40548657,23
119.2860155,35.13672208,13
106.7371863,30.28648256,4
119.339158,35.17647178,14
119.1934703,35.17300822,20
119.3599022,35.10417597,10
105.9712604,35.34351848,14
119.4686243,35.431049,12
119.4586262,35.43829808,16
119.5540672,35.3961023,9
119.3866344,35.28446157,11
112.1380499,29.10446695,4
119.5301142,35.46771125,14
119.3012309,35.39150145,11
119.5170405,35.53091754,1
118.6240406,33.84566739,7
119.2738349,35.51464975,5
117.2007828,34.24453607,11
106.9507598,27.70800021,5
115.6115866,38.62736949,18
118.7800798,35.59681379,18
116.2005516,37.43284291,37
120.3880917,36.30814232,51
118.895378,35.87753653,20
115.6151801,38.90127817,30
106.3741305,31.87138456,16
118.8150764,35.8120243,3
108.4963313,30.77400589,22
112.9563338,34.92070114,22
118.8435382,35.58587212,154
118.8011232,35.52220152,26
113.8643611,36.13099864,22
118.9067767,35.58440415,19
117.1689372,28.2246819,11
118.931584,35.46998243,9
115.4590891,38.53731644,20
118.9460049,35.65733871,28
118.9721459,35.9918261,10
118.9799089,35.92304007,7
118.7692124,35.77904003,11
119.2155804,35.7556971,75
119.2163458,35.74590734,37
118.9996978,35.80907805,9
119.2749927,35.61298018,10
119.4610803,35.68345171,4
119.3319313,35.86638699,21
119.4246591,35.73670114,1
119.3964308,35.50585644,2
119.1461076,35.65612567,3
119.1056767,35.91554883,7
119.1292477,35.78829172,3
111.9018348,22.4752086,4
