JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,2
116.7670156,30.60366922,3
119.268782,35.29195705,2
118.9893251,35.40548657,4
119.2860155,35.13672208,2
106.7371863,30.28648256,2
119.339158,35.17647178,3
119.1934703,35.17300822,1
119.3599022,35.10417597,3
105.9712604,35.34351848,3
119.4686243,35.431049,6
119.4586262,35.43829808,1
119.3866344,35.28446157,3
112.1380499,29.10446695,2
119.5301142,35.46771125,4
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,3
117.2007828,34.24453607,1
115.6115866,38.62736949,1
118.7800798,35.59681379,4
116.2005516,37.43284291,2
118.895378,35.87753653,1
115.6151801,38.90127817,6
106.3741305,31.87138456,3
108.4963313,30.77400589,5
112.9563338,34.92070114,6
118.8435382,35.58587212,6
118.8011232,35.52220152,2
113.8643611,36.13099864,2
118.9067767,35.58440415,2
117.1689372,28.2246819,3
118.9460049,35.65733871,2
118.9721459,35.9918261,1
118.9799089,35.92304007,3
118.7692124,35.77904003,2
119.2155804,35.7556971,4
119.2163458,35.74590734,7
119.2749927,35.61298018,2
119.3319313,35.86638699,3
