JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,2
118.9893251,35.40548657,1
119.2860155,35.13672208,1
119.3599022,35.10417597,2
119.4686243,35.431049,1
119.4586262,35.43829808,3
119.5540672,35.3961023,1
119.3866344,35.28446157,4
119.5301142,35.46771125,1
119.3012309,35.39150145,2
106.9507598,27.70800021,2
106.3741305,31.87138456,1
118.8150764,35.8120243,1
118.7692124,35.77904003,1
119.2163458,35.74590734,1
119.2749927,35.61298018,1
119.3964308,35.50585644,1
