JD,WD,value
119.5734467,35.57720323,2
116.7670156,30.60366922,6
119.268782,35.29195705,2
118.9893251,35.40548657,7
119.2860155,35.13672208,10
119.339158,35.17647178,4
119.1934703,35.17300822,6
119.3599022,35.10417597,7
105.9712604,35.34351848,5
119.4586262,35.43829808,4
119.5540672,35.3961023,1
119.3866344,35.28446157,1
112.1380499,29.10446695,4
119.3012309,35.39150145,2
118.6240406,33.84566739,3
119.2738349,35.51464975,2
117.2007828,34.24453607,2
106.9507598,27.70800021,1
115.6115866,38.62736949,8
118.7800798,35.59681379,11
116.2005516,37.43284291,8
120.3880917,36.30814232,16
118.895378,35.87753653,9
115.6151801,38.90127817,10
106.3741305,31.87138456,7
118.8150764,35.8120243,3
108.4963313,30.77400589,10
112.9563338,34.92070114,14
118.8435382,35.58587212,4
118.8011232,35.52220152,22
113.8643611,36.13099864,11
118.9067767,35.58440415,4
117.1689372,28.2246819,7
118.931584,35.46998243,7
115.4590891,38.53731644,3
118.9460049,35.65733871,8
118.9721459,35.9918261,2
118.9799089,35.92304007,3
118.7692124,35.77904003,5
119.2155804,35.7556971,1
119.2163458,35.74590734,19
118.9996978,35.80907805,6
119.2749927,35.61298018,4
119.4610803,35.68345171,2
119.3319313,35.86638699,4
119.4246591,35.73670114,3
119.3964308,35.50585644,1
119.1461076,35.65612567,4
119.1056767,35.91554883,1
119.1292477,35.78829172,2
111.9018348,22.4752086,2
