JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,2
119.2860155,35.13672208,1
106.7371863,30.28648256,1
119.339158,35.17647178,1
119.1934703,35.17300822,2
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.5540672,35.3961023,4
119.5301142,35.46771125,2
119.3012309,35.39150145,1
119.5170405,35.53091754,1
117.2007828,34.24453607,1
106.9507598,27.70800021,1
118.895378,35.87753653,1
112.9563338,34.92070114,1
118.8435382,35.58587212,1
118.931584,35.46998243,1
118.9460049,35.65733871,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.2749927,35.61298018,3
119.3319313,35.86638699,1
