JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,2
119.268782,35.29195705,1
119.339158,35.17647178,1
119.1934703,35.17300822,1
119.3599022,35.10417597,1
119.3866344,35.28446157,1
119.5301142,35.46771125,1
118.6240406,33.84566739,1
120.3880917,36.30814232,1
118.8150764,35.8120243,1
108.4963313,30.77400589,2
118.8435382,35.58587212,1
118.8011232,35.52220152,1
117.1689372,28.2246819,1
118.931584,35.46998243,1
119.2155804,35.7556971,1
119.2749927,35.61298018,1
119.1461076,35.65612567,1
