JD,WD,value
119.268782,35.29195705,8
118.9893251,35.40548657,2
119.2860155,35.13672208,4
106.7371863,30.28648256,1
119.339158,35.17647178,3
119.1934703,35.17300822,4
119.4586262,35.43829808,6
119.5540672,35.3961023,1
119.3866344,35.28446157,2
119.3012309,35.39150145,1
119.5170405,35.53091754,2
118.6240406,33.84566739,5
106.9507598,27.70800021,4
120.3880917,36.30814232,1
115.6151801,38.90127817,1
106.3741305,31.87138456,2
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,1
118.931584,35.46998243,2
118.9460049,35.65733871,1
119.2155804,35.7556971,2
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.1292477,35.78829172,2
