JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,4
116.7670156,30.60366922,6
119.268782,35.29195705,3
118.9893251,35.40548657,1
119.339158,35.17647178,1
119.3599022,35.10417597,3
105.9712604,35.34351848,3
119.4686243,35.431049,1
119.4586262,35.43829808,8
119.5540672,35.3961023,2
119.3866344,35.28446157,3
112.1380499,29.10446695,1
119.5301142,35.46771125,3
119.3012309,35.39150145,8
119.5170405,35.53091754,3
118.6240406,33.84566739,5
119.2738349,35.51464975,1
117.2007828,34.24453607,2
106.9507598,27.70800021,2
120.3880917,36.30814232,1
106.3741305,31.87138456,2
118.8435382,35.58587212,2
118.9460049,35.65733871,1
119.2155804,35.7556971,3
119.2163458,35.74590734,4
119.2749927,35.61298018,1
