JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,3
119.268782,35.29195705,2
118.9893251,35.40548657,4
119.2860155,35.13672208,5
106.7371863,30.28648256,2
119.339158,35.17647178,2
119.1934703,35.17300822,3
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.4586262,35.43829808,1
119.5540672,35.3961023,1
119.5301142,35.46771125,1
119.5170405,35.53091754,1
118.6240406,33.84566739,2
117.2007828,34.24453607,3
106.9507598,27.70800021,2
118.7800798,35.59681379,1
116.2005516,37.43284291,2
120.3880917,36.30814232,5
118.895378,35.87753653,2
115.6151801,38.90127817,2
106.3741305,31.87138456,2
118.8150764,35.8120243,5
108.4963313,30.77400589,1
112.9563338,34.92070114,9
118.8435382,35.58587212,10
118.8011232,35.52220152,5
113.8643611,36.13099864,2
118.9067767,35.58440415,1
117.1689372,28.2246819,1
118.931584,35.46998243,1
115.4590891,38.53731644,4
118.9460049,35.65733871,1
119.2155804,35.7556971,6
119.2163458,35.74590734,1
119.3319313,35.86638699,1
