JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,2
116.7670156,30.60366922,6
119.268782,35.29195705,6
118.9893251,35.40548657,16
119.2860155,35.13672208,2
106.7371863,30.28648256,2
119.339158,35.17647178,2
119.1934703,35.17300822,1
119.3599022,35.10417597,3
105.9712604,35.34351848,3
119.4586262,35.43829808,1
119.5540672,35.3961023,5
119.3866344,35.28446157,3
112.1380499,29.10446695,2
119.5301142,35.46771125,2
119.3012309,35.39150145,4
119.5170405,35.53091754,1
118.6240406,33.84566739,2
119.2738349,35.51464975,2
117.2007828,34.24453607,2
106.9507598,27.70800021,5
115.6115866,38.62736949,16
118.7800798,35.59681379,8
116.2005516,37.43284291,16
120.3880917,36.30814232,29
118.895378,35.87753653,12
115.6151801,38.90127817,20
106.3741305,31.87138456,8
118.8150764,35.8120243,4
108.4963313,30.77400589,10
112.9563338,34.92070114,10
118.8435382,35.58587212,64
118.8011232,35.52220152,30
113.8643611,36.13099864,15
118.9067767,35.58440415,14
117.1689372,28.2246819,7
118.931584,35.46998243,11
115.4590891,38.53731644,20
118.9460049,35.65733871,9
118.9721459,35.9918261,4
118.9799089,35.92304007,2
118.7692124,35.77904003,2
119.2155804,35.7556971,125
119.2163458,35.74590734,45
118.9996978,35.80907805,15
119.2749927,35.61298018,15
119.4610803,35.68345171,4
119.3319313,35.86638699,28
119.4246591,35.73670114,1
119.3964308,35.50585644,3
119.1461076,35.65612567,1
119.1056767,35.91554883,5
119.1292477,35.78829172,9
111.9018348,22.4752086,4
