JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.268782,35.29195705,1
118.9893251,35.40548657,1
119.339158,35.17647178,2
119.1934703,35.17300822,1
119.3599022,35.10417597,2
119.4686243,35.431049,2
119.4586262,35.43829808,2
112.1380499,29.10446695,1
119.5301142,35.46771125,3
118.6240406,33.84566739,2
117.2007828,34.24453607,1
106.9507598,27.70800021,3
115.6115866,38.62736949,1
116.2005516,37.43284291,1
120.3880917,36.30814232,3
115.6151801,38.90127817,3
108.4963313,30.77400589,2
112.9563338,34.92070114,1
118.8435382,35.58587212,3
118.9067767,35.58440415,1
118.9460049,35.65733871,1
118.9799089,35.92304007,1
119.2155804,35.7556971,12
119.2163458,35.74590734,5
118.9996978,35.80907805,2
119.2749927,35.61298018,3
119.3319313,35.86638699,1
119.1292477,35.78829172,1
