JD,WD,value
116.7670156,30.60366922,3
106.7371863,30.28648256,1
119.339158,35.17647178,1
105.9712604,35.34351848,2
119.3599022,35.10417597,1
119.4686243,35.431049,1
119.4586262,35.43829808,10
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,2
119.3012309,35.39150145,1
119.5170405,35.53091754,2
118.6240406,33.84566739,4
119.2738349,35.51464975,3
117.2007828,34.24453607,2
106.9507598,27.70800021,2
115.6151801,38.90127817,1
108.4963313,30.77400589,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
