JD,WD,value
119.5734467,35.57720323,2
116.7670156,30.60366922,1
119.268782,35.29195705,10
118.9893251,35.40548657,2
106.7371863,30.28648256,1
119.339158,35.17647178,2
119.1934703,35.17300822,1
105.9712604,35.34351848,5
119.3599022,35.10417597,2
119.4686243,35.431049,5
119.4586262,35.43829808,8
119.5540672,35.3961023,1
119.3866344,35.28446157,8
112.1380499,29.10446695,7
119.5301142,35.46771125,1
119.3012309,35.39150145,4
119.5170405,35.53091754,5
118.6240406,33.84566739,5
119.2738349,35.51464975,7
117.2007828,34.24453607,2
106.9507598,27.70800021,1
118.7800798,35.59681379,5
116.2005516,37.43284291,3
120.3880917,36.30814232,5
118.895378,35.87753653,1
115.6151801,38.90127817,4
118.8150764,35.8120243,4
118.8435382,35.58587212,11
118.8011232,35.52220152,4
113.8643611,36.13099864,3
118.9067767,35.58440415,1
118.931584,35.46998243,3
115.4590891,38.53731644,1
119.2155804,35.7556971,40
119.2163458,35.74590734,63
118.9996978,35.80907805,16
119.2749927,35.61298018,14
119.4610803,35.68345171,5
119.3319313,35.86638699,5
119.4246591,35.73670114,1
119.3964308,35.50585644,3
119.1461076,35.65612567,2
119.1056767,35.91554883,6
119.1292477,35.78829172,1
111.9018348,22.4752086,9
