JD,WD,value
116.2979565,35.41008808,1
119.268782,35.29195705,1
106.7371863,30.28648256,1
119.3599022,35.10417597,1
119.4586262,35.43829808,8
119.3866344,35.28446157,2
112.1380499,29.10446695,2
119.5301142,35.46771125,1
118.6240406,33.84566739,3
106.9507598,27.70800021,1
118.895378,35.87753653,1
118.8150764,35.8120243,2
118.8435382,35.58587212,5
119.2155804,35.7556971,2
119.2163458,35.74590734,4
119.2749927,35.61298018,2
119.4610803,35.68345171,1
119.3319313,35.86638699,1
119.3964308,35.50585644,1
