JD,WD,value
116.2979565,35.41008808,4
119.5734467,35.57720323,2
119.268782,35.29195705,1
118.9893251,35.40548657,3
119.2860155,35.13672208,1
119.339158,35.17647178,3
119.3599022,35.10417597,1
105.9712604,35.34351848,3
119.4586262,35.43829808,4
119.5540672,35.3961023,2
119.3866344,35.28446157,2
119.5301142,35.46771125,5
119.3012309,35.39150145,3
119.5170405,35.53091754,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,2
106.9507598,27.70800021,3
120.3880917,36.30814232,2
118.895378,35.87753653,2
112.9563338,34.92070114,1
113.8643611,36.13099864,1
118.9067767,35.58440415,2
118.931584,35.46998243,1
115.4590891,38.53731644,1
118.9460049,35.65733871,3
119.2163458,35.74590734,9
118.9996978,35.80907805,3
119.2749927,35.61298018,1
119.3319313,35.86638699,1
119.1461076,35.65612567,1
119.1292477,35.78829172,3
