JD,WD,value
119.5734467,35.57720323,1
119.268782,35.29195705,1
118.9893251,35.40548657,9
119.2860155,35.13672208,1
119.339158,35.17647178,5
119.1934703,35.17300822,6
119.3599022,35.10417597,5
105.9712604,35.34351848,5
119.4686243,35.431049,26
119.4586262,35.43829808,4
119.5540672,35.3961023,2
119.3866344,35.28446157,4
112.1380499,29.10446695,3
119.5301142,35.46771125,8
119.3012309,35.39150145,5
119.5170405,35.53091754,2
118.6240406,33.84566739,2
106.9507598,27.70800021,7
115.6115866,38.62736949,9
118.7800798,35.59681379,48
116.2005516,37.43284291,25
120.3880917,36.30814232,41
118.895378,35.87753653,18
115.6151801,38.90127817,48
106.3741305,31.87138456,1
108.4963313,30.77400589,9
112.9563338,34.92070114,26
118.8435382,35.58587212,1
118.8011232,35.52220152,34
113.8643611,36.13099864,18
118.9067767,35.58440415,62
118.931584,35.46998243,9
115.4590891,38.53731644,11
118.9460049,35.65733871,16
118.9721459,35.9918261,10
118.9799089,35.92304007,9
119.2155804,35.7556971,1
119.2163458,35.74590734,64
118.9996978,35.80907805,13
119.2749927,35.61298018,2
119.3319313,35.86638699,2
