JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,1
119.268782,35.29195705,1
119.339158,35.17647178,1
119.1934703,35.17300822,1
119.3599022,35.10417597,7
119.4586262,35.43829808,1
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,1
115.6115866,38.62736949,1
118.7800798,35.59681379,3
106.3741305,31.87138456,2
118.8011232,35.52220152,2
113.8643611,36.13099864,1
119.2163458,35.74590734,1
