JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.2860155,35.13672208,1
119.339158,35.17647178,3
119.3599022,35.10417597,1
105.9712604,35.34351848,1
119.4586262,35.43829808,2
119.3866344,35.28446157,1
119.2738349,35.51464975,1
106.9507598,27.70800021,1
118.7800798,35.59681379,3
116.2005516,37.43284291,1
118.895378,35.87753653,2
115.6151801,38.90127817,1
106.3741305,31.87138456,1
112.9563338,34.92070114,2
118.9067767,35.58440415,1
115.4590891,38.53731644,1
118.9721459,35.9918261,1
118.7692124,35.77904003,1
