JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,1
118.9893251,35.40548657,3
119.2860155,35.13672208,2
106.7371863,30.28648256,1
119.339158,35.17647178,1
105.9712604,35.34351848,3
119.4586262,35.43829808,3
119.5540672,35.3961023,2
119.3012309,35.39150145,1
118.6240406,33.84566739,3
119.2738349,35.51464975,2
106.9507598,27.70800021,3
116.2005516,37.43284291,1
118.895378,35.87753653,2
115.6151801,38.90127817,2
118.8435382,35.58587212,16
118.9067767,35.58440415,2
115.4590891,38.53731644,1
118.9460049,35.65733871,3
118.9721459,35.9918261,1
119.2163458,35.74590734,1
118.9996978,35.80907805,1
119.1056767,35.91554883,1
119.1292477,35.78829172,1
