JD,WD,value
119.5734467,35.57720323,1
116.7670156,30.60366922,1
119.2860155,35.13672208,1
119.4686243,35.431049,2
119.4586262,35.43829808,1
119.3866344,35.28446157,1
112.1380499,29.10446695,1
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,1
116.2005516,37.43284291,1
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,2
118.9067767,35.58440415,1
117.1689372,28.2246819,1
115.4590891,38.53731644,1
118.9460049,35.65733871,1
118.9721459,35.9918261,1
118.7692124,35.77904003,1
119.2155804,35.7556971,3
119.2163458,35.74590734,4
