JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,1
119.268782,35.29195705,6
118.9893251,35.40548657,3
119.2860155,35.13672208,3
106.7371863,30.28648256,1
119.339158,35.17647178,3
119.1934703,35.17300822,1
119.3599022,35.10417597,3
105.9712604,35.34351848,1
119.4686243,35.431049,1
119.5540672,35.3961023,3
119.3012309,35.39150145,1
118.6240406,33.84566739,3
119.2738349,35.51464975,1
117.2007828,34.24453607,1
106.9507598,27.70800021,2
118.7800798,35.59681379,2
116.2005516,37.43284291,3
120.3880917,36.30814232,1
118.895378,35.87753653,3
112.9563338,34.92070114,1
118.8435382,35.58587212,9
118.8011232,35.52220152,1
113.8643611,36.13099864,3
118.9067767,35.58440415,1
118.931584,35.46998243,2
115.4590891,38.53731644,2
118.9460049,35.65733871,5
118.9996978,35.80907805,1
119.3319313,35.86638699,1
