JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,1
105.9712604,35.34351848,3
119.4686243,35.431049,1
119.3866344,35.28446157,1
119.3012309,35.39150145,1
118.6240406,33.84566739,3
119.2738349,35.51464975,3
117.2007828,34.24453607,1
106.9507598,27.70800021,1
115.6151801,38.90127817,1
108.4963313,30.77400589,1
112.9563338,34.92070114,1
118.8435382,35.58587212,3
118.8011232,35.52220152,1
113.8643611,36.13099864,1
118.9067767,35.58440415,2
118.931584,35.46998243,1
118.9721459,35.9918261,1
119.2155804,35.7556971,8
119.2163458,35.74590734,6
118.9996978,35.80907805,1
119.2749927,35.61298018,4
119.3319313,35.86638699,4
119.1461076,35.65612567,1
111.9018348,22.4752086,2
