JD,WD,value
116.2979565,35.41008808,2
119.5734467,35.57720323,2
116.7670156,30.60366922,1
105.9712604,35.34351848,1
119.3599022,35.10417597,1
119.4586262,35.43829808,6
119.3012309,35.39150145,2
117.2007828,34.24453607,1
118.895378,35.87753653,1
115.6151801,38.90127817,4
118.8435382,35.58587212,3
118.9460049,35.65733871,1
118.7692124,35.77904003,1
119.2155804,35.7556971,4
119.2163458,35.74590734,9
118.9996978,35.80907805,2
119.2749927,35.61298018,2
119.3319313,35.86638699,3
119.1056767,35.91554883,1
