JD,WD,value
118.9893251,35.40548657,1
119.339158,35.17647178,1
119.1934703,35.17300822,1
105.9712604,35.34351848,2
119.4686243,35.431049,1
119.4586262,35.43829808,5
119.5540672,35.3961023,1
119.3866344,35.28446157,1
112.1380499,29.10446695,1
119.5301142,35.46771125,1
119.3012309,35.39150145,2
119.5170405,35.53091754,2
118.6240406,33.84566739,1
119.2738349,35.51464975,1
117.2007828,34.24453607,1
116.2005516,37.43284291,1
120.3880917,36.30814232,2
115.6151801,38.90127817,1
106.3741305,31.87138456,1
118.8150764,35.8120243,1
108.4963313,30.77400589,1
118.8011232,35.52220152,3
113.8643611,36.13099864,1
118.9067767,35.58440415,3
118.931584,35.46998243,1
118.9460049,35.65733871,1
119.2155804,35.7556971,1
119.2163458,35.74590734,1
118.9996978,35.80907805,2
119.2749927,35.61298018,2
