JD,WD,value
116.2979565,35.41008808,1
119.5734467,35.57720323,2
118.9893251,35.40548657,1
119.2860155,35.13672208,1
106.7371863,30.28648256,2
119.339158,35.17647178,4
119.1934703,35.17300822,3
119.3599022,35.10417597,1
105.9712604,35.34351848,2
119.4686243,35.431049,1
119.4586262,35.43829808,2
119.5540672,35.3961023,1
119.3866344,35.28446157,2
112.1380499,29.10446695,3
119.5301142,35.46771125,3
106.9507598,27.70800021,1
120.3880917,36.30814232,1
118.895378,35.87753653,1
115.6151801,38.90127817,1
106.3741305,31.87138456,1
118.8435382,35.58587212,1
118.8011232,35.52220152,2
118.9067767,35.58440415,1
119.2155804,35.7556971,1
119.2163458,35.74590734,5
119.2749927,35.61298018,2
119.3319313,35.86638699,2
119.4246591,35.73670114,1
119.1461076,35.65612567,1
119.1056767,35.91554883,3
119.1292477,35.78829172,1
