JD,WD,value
116.2979565,35.41008808,1
116.7670156,30.60366922,9
119.2860155,35.13672208,5
119.339158,35.17647178,2
105.9712604,35.34351848,1
119.4686243,35.431049,3
119.4586262,35.43829808,5
119.3866344,35.28446157,1
119.5170405,35.53091754,3
118.6240406,33.84566739,1
119.2738349,35.51464975,1
115.6115866,38.62736949,1
118.7800798,35.59681379,1
120.3880917,36.30814232,3
118.8435382,35.58587212,7
113.8643611,36.13099864,1
118.931584,35.46998243,1
115.4590891,38.53731644,1
119.2155804,35.7556971,5
119.2163458,35.74590734,2
118.9996978,35.80907805,1
119.2749927,35.61298018,1
119.4610803,35.68345171,3
119.3319313,35.86638699,4
119.1461076,35.65612567,1
119.1292477,35.78829172,1
