JD,WD,value
119.2860155,35.13672208,1
119.339158,35.17647178,1
119.4586262,35.43829808,2
112.1380499,29.10446695,1
119.5301142,35.46771125,2
119.3012309,35.39150145,1
119.5170405,35.53091754,1
118.6240406,33.84566739,1
117.2007828,34.24453607,3
115.6115866,38.62736949,2
118.7800798,35.59681379,1
116.2005516,37.43284291,1
120.3880917,36.30814232,3
115.6151801,38.90127817,2
112.9563338,34.92070114,1
118.8435382,35.58587212,12
118.8011232,35.52220152,3
118.931584,35.46998243,1
118.9460049,35.65733871,2
118.9799089,35.92304007,1
119.2155804,35.7556971,13
119.2163458,35.74590734,2
118.9996978,35.80907805,2
119.2749927,35.61298018,1
119.3319313,35.86638699,5
119.3964308,35.50585644,1
119.1461076,35.65612567,1
119.1056767,35.91554883,1
119.1292477,35.78829172,3
